jarðarstykki	Samheiti:almenningur,arvastykki,avskurðarjørð,áartunga,ánám,ánámi,bakkalendi,blik,blikteigur,bóndabøur,brík,bygdarbøur,byrðarlendi,býtisjørð,bølendi,bøstykki,bøur,dáastykki,deild,dyrkijørð,dyrkilendi,embætisjørð,eplabøur,epladeild,eplapláss,eplasandur,eyrfløta,eyrlendi,fedrajørð,festijørð,flatalendi,flati,flatlendi,flatnalendi,flattalendi,flatur,fløta,fløttur,fori,forni,fruktapláss,gaddajørð,gaddur,geil,geiri,gerði,gerðisjørð,gerðisstykki,gjørði,grasbøur,grasfløta,grasjørð,graslendi,grasvøllur,gróðrarblettur,gróðrarlendi,grótgeil,grótlendi,grýti,gyllin,hálvmørk,heimajørð,heimrust,heimrustari,hundlendi,innangarðsjørð,innangarðsmørk,jarðarpetti,jarðarskeki,jarðarsnøkil,jarðarteigur,jarðarøki,junkarajørð,jørð,keypajørð,kirkjujørð,kloddi,kongs,kongsbøur,kongsgóðs,kongsjørð,kongsmørk,kongstrøð,land,leigugerði,leigugrund,leigutrøð,lendi,liðargeiri,lón,lunnindabøur,lunnindajørð,lykkja,mosaeyga,mosaklingra,mosalendi,mosavøllur,mæling,mælingur,mørk,neytagerði,neytatrøð,ong,ótøki,ótøti,prestajørð,prestbøur,prestjørð,rakjørð,raklendi,rakpláss,rakstur,rani,reyn,rossatrøð,rustari,rættartippi,rættartrøð,rættarvørðsla,sanddeild,sandfløta,sandskruv,sáðjørð,sáðlendi,sátulendi,seiglendi,seil,sevlendi,seyðatrøð,skattagrundir,skruv,skúlajørð,slóttubøur,slóttujørð,slóttulendi,slætnalendi,slætta,slætti,slættlendi,snórastykki,snøkil,sorti,soyrlendi,sporli,stykki,teigabøur,teigalendi,teigsendi,teigsstubbi,teigur,traðarstykki,trætustykki,træveturjørð,trøð,tunga,tunnulendi,turrlendi,túgvulendi,tvæveturjørð,tvørteigur,tøða,umboðsjørð,umloysur,uppgávujørð,uttanbíggjarjørð,útrætt,vakstrarlendi,veltilendi,veltingarjørð,víðlendi,vøllur,vørðsla,ættarjørðeitt kálvskinn (í jørð);eplaveltur bøur;eyrkent lendi(akur)akurendi,akurlendi,byggakur,egi,ekra,elma,hveitiakur,kál,kálgarður,kálhagi,kálteigur,kornbøur,kornlendi,kornpláss,kornstykki,kornteigur,kornvelta,leguakur,opinekra,reinavelta,rísakur,rísvelta,rótakál,rótateigur,rugakur,tríkirnikornveltur bøur(beitilendi)beiti,bit,ervabit,feitilendi,grasbeiti,grasbøur,graslendi,heimabeiti,høli,kálvabeiti,lambaheiði,neytabit,seyðabeiti,seyðabit,seyðaskor,seyðlendi,summarbeiti,summarbit,summarhagi,vattalendi,vánajørð,veglendi,verðsla,vetrarbeiti,vetrarbit,vetrarhagi,ærgihavbit(hagastykki)bakkahagi,borðhagi,bjargahagi,ervahagi,felagshagi,felahagi,fjallahagi,fjallhagi,forni,hagajørð,hagalendi,hagapartur,hagi,haglendi,haruhagi,heiði,húshagi,jøkil,jøkilshagi,jøklalendi,kenningarhagi,kongshagi,langfarahagi,lághagi,lívhagi,lynghagi,lyngheiði,mýrihagi,mógvhagi,neytahagi,neytajøkil,neythagi,ódn,presthagi,rakhagi,rossajøkil,semingsstykki,seyðahagi,seyðlendi,skavingarpláss,snjógvhagi,undirhagi,uttangarðsjørð,uttangarðsmørk,vatnhagi,veiðilendi,yvirhagi,øningur,ønurí haganum;oman-, uttanfyri bøgarðarnar;uttangarða;uttangarðaður;uttangarðs;óvelt jørð;tann lági hagin(nýlendi)nýlendisstykki,útarvi,viðbyrgi,viðgerði,viðurbyrgi,viðurgerði(opinekra)eplisong,kálsongeplaveltur bøur;kornveltur bøur(velta)eplastykki,eplateigur,eplavelta,flagvelta,flatnavelta,grasvelta,hyppa,hyppivelta,letivelta,moldvelta,reimavelta,reinavelta,rótavelta,ryggjavelta,skotvelta,slættivelta,taravelta,tvørvelta,vágavelta↔dyrka,dyrking,eplaryggur,fjall,grasa,grasvaksin blettur,grógva,grøði,jarðarbrúk,jarðyrkismaður,mold,urtagarður
jarðarsøga	sífrásøgn
jarðartala	sítos
jarðarteigur	síjarðarstykki
jarðartrá	síleiðisemi
jarðarvatn	sívatn
jarðaryvirflati	síyvirflati
jarðarøki	síjarðarstykki
jarðákast	síjarðarferð
jarðbelti	síringur
