í	síílatin
íleidningur	sílíkindi(r),orsøk
íleiðing	sílíkindi(r),orsøk
íleik	sílevind,ótangi
ílendis	síáraka
ílendur	síføroyskur
íli	síakker
íligin	sísaltur
ílíki	síímynd
íljósum	sítíðliga
ílop	sígagn
ílýsing	síveðurhvíld
ílýst	síveðurhvíld
ílættur	síveðurhvíld
íløga	sífígging
íløgugrunnur	sígrunnur
íløgupeningur	sífígging
íløgutørvur	sítørvur
ím	sísót
íma	sídálka,lita
ímannaeygum	símillum manna
ímanslíki	Samheiti:mannligur,menniskjaligur,menniskjuligureins og, sum menniskja;líkur menniskja(á mannavísi)á menniskjaligan hátt↔livandi
ímeðan	sínú
ímergjaður	síhovin
ímerki	síeyðkenni
ímerking	síeyðmerking
ímerkja	sífrámerkja
ímgráur	sílitaður
ímillum	símillum
ímillumat	síviðhvørt
íminnin	síhevnisøkin
íminning	síminning
ímintur	síhevnisøkin
ímót	sílutfalsliga
ímóti	sílutfalsligaSamheiti:at,á,framundir,inn,ímótur,mót,móti,mótur,tilá (t.d.) stýriborð;fram, inn, út, vestur ímóti (o.fl.);inn at↔frameftir
ímótitøka	símóttøka
ímótur	síímóti,lutfalsliga
ímpottur	sípottur
ímutur	sílitaður,skitin
ímynd	Samheiti:felagsmerki,ílíki,líkingarmynd,mannmynd,merki,mynd,tekin,teknsum er ímynd fyri e-m, ímyndar e-t↔eyðkenni,fyridømi
ímynda	síímynda sær,merkja
ímyndan	síáskoðan,hugsan,veruleikaflótti
ímyndarligur	Samheiti:hugbærur,hugsaður,myndarligur,myndborin,myndligur,óítøkiligur,samanberandi,symbolskur,talandií myndum;sum sigur e-m nakað, virkar sum ímynd↔ímynda sær,líkur,óveruligur,samanbera,samanbering
ímynda sær	Samheiti:halda,hálda,væntabúgvast, rokna við;byggja harraborgir í tonkunum;byggja skýborgir;droyma dagdreymar, vøkudreymar;droyma, hava ynskidreymar;droyma um;fara út at sveima;fyrigykla sær;gera e-t í tonkunum;halda fyri vist;hugmynda sær;hugsa sær (til);rokna við;síggja fyri sær;síggja í huganum;vera dagdroymari;□set, tak nú fyri at...↔gruna,hugsan,ivasamt,ímyndarligur,meina
ímyndingarevni	síáskoðan
ímyndingargáva	síáskoðan
ínæst	sínærhendis
íognarfelag	sífelag
íognari	síeigari
ípart	síbýta
ípot	sífræ
íproppin	síjavnstrokin
írahópur	sívánafólk
írapakk	sívánafólk
írareppur	sívánafólk
írasáð	sívánafólk
írast	síbeistast
írestandi	sítróta
írevl	síveðurhvíld
íreyður	sílitaður
íringrás	síkring
íriv	síveðurhvíld
íroknaður	síhoyra til
ísa	síkøla
ísaður	sífrystur
ísafrystur	sífrystur
ísagleraður	sífrystur
ísaglerakaldur	síkaldur
ísakaldahor	sírakfallin
ísakaldarak	sírakfallin
ísakaldur	sífátækur,harðhjartaður,kaldur,mæltur,sørur
ísamljóði	sílíkur
ísarak	sírakfallin
ísastirdur	síkaldur
ísáð	Samheiti:grað,kynskykna,sáð,sáðkykna,slýggj,spin,spina(sil)mjálki,mjólki(sáðlát)avgonga↔fræ
ísálaður	sílivandi
ísár	sívánatíð
ísborin	síinnfluttur
ísbrótari	sísjófar
ísbrúgv	síkavi
ísbrýndur	síburturmataður
ísenn	sísamstundis
íseting	Samheiti:innlegging,innseting
íseymaður	síseyma
íseyming	síseyming
ísfiskaveiða	sífiskiskapur
ísfiskur	sífiskur
ísfjall	síkavi
ísflaki	síkavi
ísfløta	síkavi
ísfon	síkavi
ísfoyra	sískarð
ísfríur	Samheiti:kavaleysur,kavalítil,keldufarin,ófrosin,ófrystur,tánaður,táur,tiðnaður,várloystur↔bráðna,kavi,táveðurAndheiti:frystur
ísføri	síhálka
íshavskrutt	sífiskur
íshavsskøta	sífiskur
íshálka	síhálka
íshús	sígoymsla,køliverk
ísing	síkøling
ísíðstu løtu	síseint
ískaldur	síkaldur
ískaptur	síarviligur
ískerandi	síprúður
ísklumpur	síkavi
ískorin	sískera út
ískoyti	sívøksturSamheiti:afturatløga,ábót,áskot (av mold),burturviðbót,dýrtíðarviðbót,eykan,eyki,framhald,førleikaviðbót,íkast,lønarviðbót,náttarviðbót,pábót,prísískoyti,prísviðbót,prístalsviðbót,reiðuviðbót,staðarviðbót,tillag,tilløga,tilsig,tilskot,tiltøkuviðbót,uppískoyti,útiviðbót,viðbót,viðøking,øking(eykablað)fylgiblað(eftirskrift)eftirmæli(undirgrein)ítriv,viðmerking(atskoyti)eftirfesti,eftirskoyti,forfesti,forskoyti,innskoytie-t eyka, umframt↔afturat,dýrka,hjálp,hoyra til,leggja afturat,okra,príshækkan,prísur,skoyta,skoyti,tilsaman(s),vøksturAndheiti:frádráttur
ískoytisfóður	símatur
ískrubba	síkøliverk
ískubbi	síkavi
ískurður	síviðgerð
ískøddur	sítilbúgvin
íslagdur	sífrystur
íslandsfiskur	sífiskur
íslandslomvigi	sífuglur
íslandsluft	síávaring
íslandsmási	sífuglur
íslandsrennari	sífiskur
íslandsrúgva	síhoyggj
íslandstoskur	sífiskur
íslendi	síoyðistaður
íslit	sííhald,veðurhvíld
íslitið	síveðurhvíld
ísmikil	sífrystur
ísmoli	síkavi
ísna	síkólna
ísnám	síkavi
íso	síríkiliga
íspegil	síbýttlingur,ótangi,undirhaldari
íspinnari	síoddamaður
íspori	síístig
íspuni	síósannindi,veruleikaflótti
íspunnin	síósannur
ísskøva	sískarð
ísstokkin	sífrystur
ísstykki	síkavi
ístaðin	síafturfyriSamheiti:afturfyrifyri annan, ein;fyri hond e-s;í annans stað;í staðin;í staðin fyri e-n;sum avloysari;vegna e-n;□maður kemur í mans stað↔loysa av,varamaður
ístaktur	sífrystur
ístig	Samheiti:íspori,ístígari(ástig)bremsa,føtil,kopling,pedalur(ferðgevi)skyndil,spitari↔fótaspenni
ístígari	síístig
ístoka	sítoka
ístraður	síhovin
ístur	sífitievni
ísturbjølgur	sífitibjølgur
ísturbúkur	sífitibjølgur
ísturkíkur	sífitibjølgur
ísur	síhøvuðskál,kavi,skreiðibreyt
ísvatn	sívatn,drekkivatn
ísvirki	síkøliverk
ítak	síviðgerð
ítakandi	sísannur
ítarliga	síógvuliga
ítarligur	sífrálíkur
íteirritíð	síta ferð
ítinna	sígrót
ítinnutur	síkornutur
ítornað	síveðurhvíld
ítriv	síískoytiSamheiti:dagdvølja,frítíðararbeiði,frítíðarítriv,frítíðarstarv(nyttuleyst arbeiði)digg,fjas,fjasan,káv,kávan,mjas,ónyttufjas,pappírsfjas,pilk,putl,putlarbeiði,skitl,skritl,smáputl,tíðarstytting,viðfáningurputl og fjas(heimaarbeiði)heimaputl,húsfjas,húspjak,inniskavsmáarbeiði heima↔arbeiða,arbeiði,putla,starv,starvsgrein,tómleiki,verkevni,vinnulív,yrki
ítrótt	síkapping
ítróttabúni	síklæði(r)
ítróttafelag	sífelag
ítróttagrein	síkapping
ítróttaháskúli	sískúli
ítróttahøll	síbygningur
ítróttakapping	síkapping
ítróttalið	símanning
ítróttaráðgevi	síleiðbeinari
ítróttarsending	sísending
ítróttarvenjing	síuppaling
ítróttasamband	sífelag
ítróttaskrivari	sírithøvundur
ítróttaskúli	sískúli
ítróttastevna	síkapping
ítróttavedding	síábyrgjast
ítróttavøllur	sístað
ítróttur	síkapping
ítøkiligur	sísannur
ítøkum tíma	síseint
ítøkur	sísannur
Ívar	síævintýrhugtak
íveruhús	síbygningur
ívinafylgi	sívegna vinskap
ívist	síbústaður
ívista	síveðurhvíld
ívovin	síseyma
