vað	síbrúgv,fiskatorva
vaktari	Samheiti:aktingarmaður,dadda,duravaktari,duravørður,fangavaktari,froðubarn,fyrrapartsvakt,gásadrongur,geitahirði,geitasveinur,geitreki,geitureki,goymingarbarn,goymingarfólk,hagamaður,hestamaður,hestasveinur,hirði,hirðil,kagmaður,kleivverji,kúbumpil,køstaskoðari,lambadrongur,langfarahagamaður,liðvørður,lívvakt,lívverja,lívverji,lívvørður,marknavørður,morgunvakt,náttarvakt,náttarvørður,náttvakt,náttvørður,neytabarn,neytadrongur,portari,reiðari,reiðslubarn,reiðsludrongur,rossabarn,rossadrongur,røkjari,røktingarmaður,seyðadrongur,seyðamaður,smaladrongur,smalamaður,smaludrongur,smalumaður,sómadadda,svínahirði,svínahirðil,svínasveinur,tunnumaður,vakt,vaktareyga,vaktarhundur,vaktarkona,vaktarmaður,varðfólk,varðhundur,varðmaður,varðtík,vektari,vøkukona,vøkumaður(eftirhyggingarmaður)athyggingarmaður,upsarmaður(grannskoðari)roknskapargrannskoðari,roknskaparmaður(umsjónarmaður)bileftirlit,bókavørður,brunaumsjón,brunavørður,eftiransingarmaður,eftirlitsmaður,fangavørður,farmavørður,garðaskoðari,garðskoðari,goymsluvørður,hallarvørður,havnarmeistari,hitameistari,hitavørður,húsavørður,húsvørður,kassameistari,kirkjuverjari,kirkjuverji,landsbókavørður,landsskjalavørður,ríkisskjalavørður,savnvørður,skattmeistari,skjalavørður,skoðanarmaður,skoðanarmeistari,telduvørður,tilsjónarmaður,vatnmeistari,vitaansari,vitameistari,vitavørður,vørður(varðlið)eftiransingarnevnd,eftiransingarráð,eftiransingarstovnur,umsjónarráð,vaktarfelag,vaktarlið,vaktarmanning,vaktarvirki↔alvakin,ansni,eftiransin,eftirlit,krógva,vaka,vaktarhald,verja,verja annan,verja seg
vaktarkona	sívaktari
vaktarlið	sívaktari
vaktarmaður	sívaktari
vaktarmanning	sívaktari
vaktarskip	sísjófar,vaktarhald
vaktarskipan	sívaktarhald
vaktarstaður	sívaktarhald
vaktarstova	sívaktarhald
vaktarstøð	sívaktarhald
vaktarstøða	sívaktarhald
vaktartorn	sívaktarhald
vaktartænasta	sívaktarhald
vaktarvirki	sívaktari
vaktaskifti	síbroyting
vaktil	sífuglur
vakur	sísnotiligurSamheiti:alfagur,alvakur,andlitsfríður,ásíggiligur,ásýniligur,ásýnligur,ásjónligur,bráðfríður,bráðvakur,dárandi,deigiligur,deiligur,dragandi,dýrdarfagur,eigandi,eiggiligur,eiggin,eigiligur,fagur,fagurligur,fittur,fríðlittur,fríðoygdur,fríður,holdfríður,hugligur,hugtakandi,kálvasnøggur,klæðiligur,leskiligur,ljúvligur,ljúvur,nemiligur,ovurvakur,penligur,penur,skøffiligur,skøfligur,skøfnaligur,stílfríður,stílreinur,søtamikil,søtligur,søtur,tekkiligur,tekkur,tølandi,undurfagur,undurvakur,undurvænur,unniligur,vegligur,vælvaksin,vælvorðin,vøkstriligur,vøksturligur,yndigur,yndiligur,yndisfagur,yndisfullur,yndisligur,yndisvænur,yndugur,ynniligur,ynnisligur,vællimaður,vælskapaður,vælskaptur,vælvaksin,vælvorðin,vænurfríðliga littur;fríður í ásjón;føgur sum lilja;føgur sum sólin;hugtakandi vakur;sera vakur;vakur upp á kropp;verdur at eiga;verdur at hoyra, síggja o.fl.;væl bygdur, skaptur, skonaður o.fl.;○sum býður sær væl út(ljóðfagur)klingandi,lagvakur,ljóðríkur,ljómandi,ljómfagur,ljómligur,ljómmikil,ljómvakurvið vøkrum klangi, ljómi↔fríðdæmdur,fríðkast,prúður,pyntaður,snotiligur,yndi,yndisligaAndheiti:misháttur
vakurleika	síglas
vakurleikadrotning	sívinnari
vakurleikakapping	síkapping
vakurleikarøkt	síreinføri
vakurleiki	síyndi
vakurliga	síyndisliga
vakurligani	síyndisliga
vakurt	síyndisliga
val	síúrval,valmøguleikiSamheiti:atkvøða,atkvøðing,atkvøðugreiðsla,bygdarráðsval,býráðsval,endurval,formansval,forsetaval,fólkaatkvøða,fólkatingsval,kommunuval,kosning,lutfalsval,løgtingsval,nevndarval,nýval,royndarval,umval,úttøka,útveljing,valg↔tilnevning,úrval,útnevna,valdur,valmøguleiki,velja,ymiskt
vala	sítvítulingur
vala-	sífrálíkur
valabygd	síbýur,innløgupláss
valadrongur	síhampafólk
valafólk	síavtakafólk,hampafólk
valagn	síagn,lokkuboppa
valahús	síbústaður
valakona	síavtakafólk,hampafólk
valaksabundi	síhálmur
valakúgv	síneyt
valaldur	síbarnaár
valalív	sígerandislív
valamaður	síavtakafólk,hampafólk
valamatur	símatur
valamið	sífiskileið
valasmyrsl	síkrem
valasprek	síviður
valasvørð	síknívur
valaverk	Samheiti:dygdarverk,gignisverk,perla,snildarverk,stásverkhegnisligt, prýðiligt, stásiligt, væleydnað arbeiði, verk↔dýrgripur,frálíkur,kjør,meistaraliga,roysnisgerð,snotiligur,vælvirkinAndheiti:kloddaarbeiði
valaviður	síviður
valaætt	sískyldfólk
valborð	síviður
valbræv	síboðan
valbærur	sítilkomin
