vað	síbrúgv,fiskatorva
vanæruligur	síóverdigurSamheiti:eyðmýkjandi,forhánisligur,hádingsligur,háðandi,háðisligur,háðligur,háðsamur,háðuligur,hánisligur,heiðursleysur,mannminkandi,meinorðaður,misháttaður,niðrandi,níðingsligur,ósømiligur,óvirðiligur,sárorðaður,skammiligur,slættisligur,slættligur,sømdarleysur,vanvirðiligur,vanvirðisligur,vanyrðiligur,vanærandi,æruleysur,ærulítil,ærumeiðandi,æruskemmandi(speiligur)finskur,smáspeiskur,speimæltur,speirekandi,speisamur,speiskur,spotskligur,spotskur,spottandi,spottsamur,spoyskur↔arga,arging,argingarsamur,eyðmýking,eyðmýkja,forhánisliga,hugsæra,illsinnisgleps,ósømiligur,óvandatos,óverdigur,spotta,spottaður,spottari,spottorðAndheiti:fólkaligur
vanærutur	síharðhjartaður,ótakksamur
vappa	síferðast,ganga,stikla steinar
vara	síávara,eftiransin,gruna,vøraSamheiti:halda,røkkahalda á, áfram, fram (við at...);halda leingi á;halda sær;halda, vara leingi, væl;ikki blíva uppi, ikki brotna, broytast, minka, skifta, slítast o.fl.;liggja leingi á;liggja leingi á takinum;roynast, vera best í longdini;roynast væl;røkka langt;røkka til;standa, vara við;tola nógv av;vera drúgvur, haldgóður;vera nóg nógvur;vera toyggin;□tað man vera longst sum best↔áhaldandi,drúgvur,drýggja,haldgóður,leingi,varandi
varabiskupur	sívaramaður
varaformaður	sívaramaður
varaforseti	sívaramaður
varakongur	sívaramaður
varakonsul	sívaramaður
varalimur	sívaramaður
varaløgmaður	sívaramaður
varamaður	Samheiti:næstformaður,næstimaður,varabiskupur,varaformaður,varaforseti,varakongur,varakonsul,varalimur,varaløgmaður,varapróstur,vararektari,varastjóri(avloysari)ársvikarur,frítíðaravloysari,fyribilsformaður,fyribilsstjóri,fyribilsstjórn,vikarur(eftirmaður)staðgongumaður(eykamaður)eykalækni,eykalærari,eykapersónur,eyksmaður,tiltakslimur,tiltaksmaður,tiltøkumaður□teir sum eru eyka, sum eru, sita til eyks, eru umframt;teir sum sita á beinkinum(lánsmaður)lánsdoktari,lánslækni,lánslærari,lánsmaður,lánsprestur(umboð)aðalumboð,fulltrúgvi,fulltrúi,næmingaumboð,ríkisumboð,ríkisumboðsmaður,sendiharri,søluumboð,umboðari,umboðsfulltrúi,umboðsmaður,umboðsmannating,umboðsnevnd,umboðsráð,umboðsstjórn(avlopsmaður)sum arbeiðir, er við eina royndartíð;sum er við upp á iv, upp á óvist;sum ikki er settur↔ístaðin,loysa av
varandi	sídrúgvur,haldgóður,vanligurSamheiti:aldalangur,áhaldandi,áhildin,áralangur,drjúgvur,drúgvur,endaleysur,endleysur,lívlangur,lívseigur,lívslangur,markleysur,ódeyðiligur,ódoyggjandi,óendaligur,óforgeingiligur,ófølnandi,ókúgandi,ólúgvandi,ótornandi,seiglívaður,ævigur,ævilangur,æviligur,ævinligur,ævugurfyri lívið;uttan enda, mark o.fl.(tíðleysur)ótíðarfesturikki bundin av tíð↔alsamt,altíð,áhaldandi,brádliga,drúgvur,drýggja,eftirsíggin,endaloysi,fyribils,fyrr,fyrst,haldgóður,higartil,leingi,liðin,líða,líðandi,lívstíð,løta,nú,ofta,ólýsandi,síðani,skjótt,sparing,tíðarskeið,tíðliga,upprunaliga,útliðið,vara,ævigaAndheiti:forgeingiligur,ódrúgvur
varapróstur	sívaramaður
vararektari	sívaramaður
vara seg	síeftiransin
varastjóri	sívaramaður
varavissa	sítil varavissu
varbeitin	síkræsin
varbeittur	síkræsin
varbitin	síkræsin
vardrúgvur	sídrúgvur
varða	síeftiransin,para,passa
varða av	síavvarðandi
varðagøta	síkoyrivegur
varðahjallur	sígoymsla
varðatráður	síband
varðberg	sívaktarhald
varðeingil	síeydnulutur,ævintýrhugtak
varðfólk	sívaktari
varðhald	sífongsul,vaktarhald
varðhaldsfongsla	sísita í fongsli
varðhaldsfongslaður	síavbyrgdur
varðhaldsfongsling	sífongsul
varðhundaklógv	sínegl
varðhundsklógv	sínegl
varðhundur	síhundur,vaktari
varði	síveggurSamheiti:fiskivarði,gonguvarði,grótvarði,hjámerki,middagsvarði,vesturvarði↔finna veg,leiðbeinari,stevnuleið,viti,ýta
varðingartráður	síband
varðlið	sívaktari
varðmaður	sívaktari
varðróp	síávaring
varðskip	sísjófar
varðstova	sívaktarhald
varðtík	síhundur,vaktari
varðtorn	sívaktarhald
varðveita	síkrógva,passa
varðveitsla	Samheiti:goymd,goyming,goymsla(haldbúgving)balsamering,dósakóking,fitispreinging,hitaviðgerð,niðursjóðing,rotverja(goymsluháttur)háttur, máti at varðveita e-t↔goymsla,krógva,passa
vargafylgi	síseyður,vargur
vargagneisti	síseyður,vargur
vargakrov	sílikam
vargalamb	síseyður,vargur
vargapláss	síforræði
vargaseyður	síseyður,vargur
vargbeittur	sístyggur
varghundur	síhundur,illbønavætti
vargur	síræðsla,seyðurSamheiti:villingur,spinnivargur,vargafylgi,vargagneisti,vargalamb,vargaseyður,vargærflogstyggur seyður, vargur;flúgvandi seyður, vargur;hálvur vargur;koyrdur fuglur;styggur seyður;tann beri, flúgvandi, rámi, spinnandi vargur;□vargur er í seyðinum↔fólkaskýggin,ræðsla,styggjast,styggur
vargær	síseyður,vargur
varhugi	síillgruni
varigur	síeftiransin
varin	síeftiransin
varing	síávaring
varisliga	sívandaliga
varisligur	síeftiransin,hóvsamur
varlátin	síhóvsamur
varliga	sívandaliga
varligur	síeftiransin,hóvsamur
varlæti	síafturhald
varmafløska	sífløska
varmakelda	síkelda
varmakistil	síkassi
varmaorka	símegi
varmastova	síhøli
varmaviðgerð	síviðgerð
varmi	síhiti
varmur	síheitur
varmynd	síveruleikaflótti
varna	sígruna,síggja
varnari	síávaring
varnarrøða	sítos
varnartala	sítos
varnast	sígruna,ræðast,síggja,smæðast
varni	síansni,illgruni
varningur	síspádómur,vøra
varp	síakker,blaking,reiður
varpa	sítveita
varpakker	síakker
varpteinur	síband
varptog	síband
varra	sígera aldu
varrafiskur	sífiskur
varralestur	síbókalestur
varralitur	sílitevni
varraljóð	síljóð
varrareyður	sílitaður
varrarsteinur	sígrót
varrasker	sísker
varraskvaldur	síreyp
varrasmyrsl	síkrem,litevni
varrasteinur	sísker
varrastift	síkrem
varsamur	síeftiransin
varsemi	síafturhald,ansni
varsin	síeftiransin
varsjón	síavdúking
varskó	síávaring,spádómur
varskógva	síávara
varugur	síeftiransin
varur	síeftiransin
varúlvur	síævintýrhugtak
varvátt	sískríggj
vas	sílevind,møsnari,vavstur
vasa	síbeistast
vasan	sílevind
vasi	sífløkja,fløska,vavstur
vask	sívasking
vaska	Samheiti:avfeitta,avsýra,baða,láma,leyga,reinhalda,skimma,skola,skylja,skylla,tváa,tvætla,tvættabaða sær, e-m;drepa upp t.e. vaska smávask;fara í, fáa sær bað;gera reint;halda reinan;kryvla e-m;reinska í, við lúti, vatni o.fl.;skimma alt til;vaska e-m í høvdinum, um hárið;vaska í, við hond, millum hendur;vaska niður;vaska stórvask;vaska sær, e-m um føturnar, hendurnar o.fl.;vaska upp;vaska upp og niður;vinda (burtur) úr e-m;vinda (klæði) uppúr(lúta)lútviðgera(reinsa)klakareinska,klára,reinska,sandblásagera kláran, reinan;gera reint(sóttreinsa)deyðreinsa,drepa,stervagera lívsøran(úrskilja)úreitra,úrkálka,úrløða(lufta)lufta út;sleppa nýggjari, reinari luft inn↔gníggja,húsligur,reinføri,reinur,rudda,ruddiligur,rudding,vaskiløgur,vaskingAndheiti:dálka
vaskaður	síreinur
vaskarí	síbygningur
vaskigrýta	sípottur
vaskihús	síbygningur,høli
vaskikona	síhjálpari
vaskiløgur	Samheiti:bað,baðivatn,eftirlútur,fótavatn,grønsápulútur,leyg,leygingarvatn,lútur,sápulútur,sápuvatn,sýrubað,tvag,tvagbland,uppvaskivatn,vaskivatn↔vaska,vasking
vasking	Samheiti:avfeitting,andlitstváttur,bað,bilvask,brúsubað,fótabað,fótatváttur,fótbað,fríggjadagsbað,gosbað,guvubað,handatváttur,hártváttur,hárvask,húsavask,høvuðsreingerð,karbað,kis,kisukáv,kisuvask,klædnavask,labbaskav,leyg,reingerð,reingering,reinhald,reinsan,reinsing,reinskan,sandblástur,seyðatváttur,seyðavask,skol,skolan,skúmbað,skúrbað,smávask,sneiðivask,stoytibað,stórvask,tváttur,tvætl,uppturking,uppvask,vask(útskoling)útpumping,útskaving(sóttreinsan)sterving↔húsligur,reinføri,reinsiverk,reinur,rudda,ruddiligur,rudding,vaska,vaskiløgur
vaskirenna	síá
vaskirúm	síhøli
vaskivatn	sívaskiløgur
vaskur	sídjarvur,raskur
vassa	sísvimja
vasutur	síófriðarligur
vatn	sídrekkivatn,hylurSamheiti:áarvatn,baðivatn,bleikivatn,blóðvatn,botnvatn,brynningarvatn,bræðingarvatn,dópsvatn,dragvatn,drekkavatn,drekkingarvatn,drekkivatn,eftirvatn,eplavatn,fingravatn,fótavatn,frostvatn,gróðrarvatn,gruggvatn,grundvatn,hoyvatn,høvdavatn,ísvatn,jarðarvatn,kelduvatn,kirkjuvatn,kranavatn,kúgvarvatn,kølivatn,lunnavæta,matarløgur,matarvatn,matvatn,móruvatn,móvatn,mjólkarvatn,mylluvatn,naglavatn,náttarvatn,neytavatn,omanávatn,omanvæta,ósavatn,pumpuvatn,rakivatn,regnvatn,renningarvatn,rotvatn,runuvatn,rustvatn,saltvatn,siropsvatn,skarnvatn,skitvatn,skírnarvatn,skolivatn,spillivatn,støðuvatn,sukurvatn,takvatn,tjøruvatn,tungvatn,tættivatn,vatndropi,vatnsdrykkur,vatnslettur,vatnsopi,veitarvatn,vetrarvatn,vígsluvatn,øgilsvatn,øgilvatn(væta)doði,marra,rami,rái,ráleiki,saggi,sjórami,sjórái,sjósavi,slag,slav,slevja,tættivatn,veggjardropi,væti,ylblot,ylbloti(holdvæta)blóðflot,blóðvæta,brunavatn,búkráki,fosturvatn,iglavatn,land,leysavatn,livrarvatn,munnráki,piss,ráki,sevja,slev,sleva,sveitavatn,væta,væti,vatn(soð)beinasoð,bótarsoð,døgurðasoð,eplasoð,fiskasoð,flidnasoð,fliðuløgur,fliðusoð,fuglasoð,grindasoð,høvdasoð,kjøtsoð,knettasoð,løgur,nátturðaløgur,nátturðavatn,pottaløgur,pylsusoð,seyðarhøvdasoð,snyksoð↔áarføri,bleytlendur,bloyta,drekkivatn,fossur,hylur,kelda,regn,regna,sevjumikil,sveitti,toka,vatnast,vatna út,vatnfirrin,vatnvánir,vát klæði(r),vátur
vatna	Samheiti:bloyta,dossa,droypa,floyta,sirma,støkkja,sveitka,vatnbera,vætagera vátan;floyta alt av;lata drúpa;leggja í blot;seta (klæði) á blot;skvetta, skvøtta, sletta, støkkja vatn á;spræna løg↔floyma,froysan,leka,skvagga,spræna,váturAndheiti:turka
vatnaseyður	síseyður
vatnasíl	sífiskur
vatnast	Samheiti:blotna,doða,doðast,dossa,drukna,døgga,døggfalla,kássast,kreyma,kvapast,linka,rána,slaga,slavna,vatndruknadossa á;drekka vatn í seg;drukna inní;drukna ígjøgnum;evjast upp;fara á meisina, undir drav;fáa fótavatn, karbað, karm;gerast bleytur, linur (av vætu);gerast, verða gjøgnvátur, ígjøgnum, ráligur, slavin, vátligur, vátur o.fl.;kássast upp;leggjast við døgg;rána uppaftur;verða til evju;□døgg, væta legst á;nú er ásett, nú er sett á grót;tað setur á e-t;tað sýgur, tekur (vætu) í seg;vatn rínur við e-t↔bleytlendur,bloyta,regn,sevjumikil,vatn,vatna út,vát klæði(r),váturAndheiti:harðna,skorpna
vatna út	leggja í vatn;seta á blot, vatn;seta klæði, mat á blot↔salta,smakkleysur,vatn,vatnast
vatnbera	sívatna
vatnbløðra	síbløðra
vatnbotnur	síbotnur
vatnbóltur	síbóltur
vatnbrunnur	sígoymsla,kelda
vatnbyrging	síkelda
vatnbytta	síspann
vatnbøli	síkelda
vatndeyvur	sísmakkleysur
vatndópur	sídópur
vatndrigin	sívátur
vatndropi	sídrekkivatn,dropi,vatn
vatndrukna	sívatnast
vatndruknaður	sílaðin,vátur
vatndrýlur	sígjald
vatndyggur	sívatnfirrin
vatnfastur	sívatnfirrin
vatnfeingi	sívatnvánir
vatnfelag	sífelag
vatnfirrin	Samheiti:vatndyggur,vatnfastursum vatn ikki rínur við↔harður,turrur,vatn,vátur
vatnfiskur	sífiskur
vatnflóð	síáarføri
vatnfroyður	sískúm
vatnfult	síbleytlendur
vatnføri	síáarføri,vatnvánir
vatnføsta	síhungur
vatngangur	símark
vatngarður	síregn
vatngingin	sívátur
vatngjald	síavgjald
vatnglaða	sírokilsi,vindur
vatnglas	sífløska
vatngos	síkelda
vatngryvja	síá
vatnguva	sítoka
vatnguvan	sítoka
vatnhagi	síjarðarstykki
vatnhavin	sílinur
vatnhít	síposi
vatnhús	síbygningur
vatning	sípissa
vatnkaggi	síkassi
vatnkalvi	sífiskur
vatnkarvi	sífiskur
vatnkassi	síkassi
vatnkattur	sílampa
vatnkálvur	sífiskur
vatnkleyv	sínegl
vatnknokkur	síbýttlingur,vánamaður
vatnkoma	síkelda
vatnkovi	síhøli
vatnkráka	síavynnumaður,landkrabbi
vatnkøla	síkøla
vatnkøldur	síkøla
vatnleidningur	Samheiti:frárenna,frárenning,frárensl,niðurrenning,rennustokkur,rør,takrenna,vatnleiðing,vatnleiðsla,vatnrør,vatnslanga,vatnstokkur,vatnveiting,veitingarrør↔á
vatnleiðing	sívatnleidningur
vatnleiðsla	sívatnleidningur
vatnlendi	síkelda
vatnleysur	síturrur
vatnlind	síkelda
vatnlinja	símark
vatnlitamálningur	símynd
vatnlitamynd	símynd
vatnlitur	sílitevni
vatnljós	sílampa
vatnlop	síomanlop
vatnmegi	símegi
vatnmeistari	sívaktari
vatnmerki	síeyðkenni,mark
vatnmikil	sívátur
vatnnám	símark
vatnneyð	sítørvur
vatnorka	símegi
vatnoyri	síáarmunni
vatnpípa	sígras
vatnplanta	síurt
vatnrás	síá,kelda
vatnreinsiverk	síreinsiverk
vatnrenna	sískorpna
vatnríkur	sívátur
vatnrok	sírokilsi,toka
vatnrot	sírot
vatnræsi	síá,kelda
vatnrættur	Samheiti:beinur,vatnsrættursum ikki hellir(flatvegis)flatveginá flatan(tvørvegis)tvørveginá tvøran;á tvørt(tvørturum)eftir breiddini↔beinur,flatur,steyrrættur,útrættur
vatnrør	sívatnleidningur
vatnsdrykkur	sídrekkivatn,vatn
vatnseinur	síárrisin
vatnseyður	síseyður
vatnskaði	sískaði
vatnskalli	síbýttlingur,fuglur
vatnskin	sígóðveður,ljósglæma
vatnskinsløta	sígóðveður
vatnskol	sídrekkivatn
vatnskorpa	síyvirflati
vatnskøltur	síbýttlingur,fuglur
vatnslanga	sívatnleidningur
vatnslettur	sídrekkivatn,froysan,regn,vatn
vatnsmakkur	sísmakkur
vatnsmáli	síyvirflati
vatnsoðin	sílinur
vatnsopaeyga	sígrátusurrur
vatnsopi	sídrekkivatn,vatn
vatnspann	síspann
vatnspring	síkelda
vatnsprænur	sífroysan
vatnsrættur	sívatnrættur
vatnstapi	sígras
vatnstokkur	sívatnleidningur
vatnstrond	sístrond
vatnstøða	síyvirflati
vatntangi	sígoymsla
vatntrot	sítørvur
vatntyntur	sílinur
vatntættur	sítættur
vatnurt	síurt
vatnutur	sílinur,sevjumikil
vatnvánir	(vatnfeingi)vatnføri↔regn,vatn
vatnveita	sídyrka,turrleggja
vatnveiting	sívatnleidningur
vatnvøkstur	síurt
vatnær	síseyður
vattalendi	síjarðarstykki
vattarbak	sífuglur
vattarbrot	sírukka
vattarsteinur	sílodd
vattasummar	sívánatíð
vattatógv	síband
vattaveður	síkuldi
vattfóðra	síleggja á
vattfóðraður	síleggja á
vattleysur	sínakin
vav	síumvav
vavdast	síarbeiða
vavgreytur	síblandingur,vavstur
vavla	símeina
vavmikil	síhovin,máldrúgvur
vavstur	Samheiti:bland,blandan,blanding,brongl,brongul,brøkur,dalsaki,dreiv,duradansur,døsi,døsil,egningarfløkja,feilur,fjakk,fjøs,fjøsi,fløkgreytur,fløkja,fløkjuvasi,funs,føsil,hópakoming,hundaskil,hundaspýggja,hurl,hurlifansur,hurlivasi,jólasperðil,kimbil,knørvald,krutl,kuril,mislag,orðavavstur,ógreiða,ógreiði,ógreiðsla,ólag,óregla,óreglusemi,óskil,rekil,ringumreiggj,rok,ruðuleiki,ruðuvasi,rummalareiggj,rummanareiggj,rummarareiggj,samanbland,samanblanding,samanvavstur,skálm,skilaloysi,skipanarloysi,skiparafløkja,skølm,sori,split,splitt,splittiskeið,streymtrol,svans,søpil,søpul,trol,trunki,tvinning,vas,vasi,vavgreytureitt grúiligt svans;hurl um burl;□har kom tvískinningur í;tað er sum í Runsival;tað sum vendi niður vendir upp↔blandaður,blandast,blandingur,dreiva,fløkja,fløktur,óskilliga,óskipaður
vavurt	síurt
vavvur	síavynnumaður,vánamaður
vá	síólagna
vábrestur	síljóð
váðaferð	sívandi
váðafæ	sífígging
váðagerð	sívandi
váðagestur	sígestur,óflýggjakroppur
váðalogi	síeldur
váðamikil	sítorførur
váðasigling	sívandi
váðaskot	síbyrsuskot,skaði
váðaspæl	síeydnuleikur
váðastund	sívánatíð
váðaverk	sívandi
váði	sívandi
vág	sífjørður,hav,sjóvarilska
vága	sílovprísa,vága sær
vágaligur	sídjarvur,torførur
vágamikil	sídjarvur
vágan	sídirvi
vágarmikil	síaldutur
vágarstórur	síaldutur
vága sær	Samheiti:dirvast,tora,torga,unnast,vágabjóða seg fram;dintla, dirva seg til;ditta, hætta sær;drísta seg, sær (til);fáa seg til;halda seg til;hava gott høvd til bjarga;hava góðar krillur, nervar;hava hug og dug, hug og evni til;hava, sýna áræði, dirvi, manshjarta, mót o.fl.;hava tarvamót;ikki blúgvast, skammast o.fl.;ikki hava kálvahjarta;ikki vera so ræddur sum illa klæddur;leggja lívið við;leggja nógv fyri, til;leggja, seta lívið á;liggja á lívlátri;líta sær nógv til;líta sær til at...;nýta høvi at...;seta e-t í váða;seta lív(ið), lív og limir í vanda, váða;seta upp á báðar vánir;síggja, taka sær løgi;taka kjans, kjansin;tora, unnast væl;troysta sær;undirstanda seg (at);vága lív(ið);vága nógv;vera djarvur í bjørgum, til bakka;vera djarvur, mótaður, tilboðin, vágin o.fl.;vera so væl at sær at...;vera við gott mót(koma sær)fáa seg til at...,hava hjarta til,kunna sær,nenna sær,troysta særhava hug, hugskot, hugsku til at...;orka at...;vinna seg til at...;□at hann nú skal koma sær, troysta sær at...↔bjartskygni,dirvi,djarvur,frekleiki,kravmikil,nasadjarvur,óttaleysurAndheiti:aftra seg
vágavelta	síjarðarstykki
vágbinda	síankra
vágbløðra	síbløðra
vágiligur	sídjarvur,torførur
vágin	sídjarvur
vágkoyna	síkoyna
vágloysi	sítyngdarloysi
vágmikil	síaldutur
vágnaður	sívandi
vágpirra	síkoyna
vágsbotnur	síbotnur,fjørður
vágskorin	síinnskorin
vágsmunni	síinngongd
vágur	sífjørður
vákn	síknívur,vápn
váknalína	síband
váknaprógv	síeyðkenni
váknaskeið	síslíðrar
váknaslíðrar	síslíðrar
váknastong	sískefti
vál	sífjall
vála	síganga
válaður	síútmøddur
válan	sígonga
válgna	síhitna
válgur	síheitur
válk	sísjóvarilska
válka	sídálka,tøva
válkapisa	sífuglur
válkasjógvur	sísjóvarilska
válkur	sífuglur
válkutur	síaldutur
válsin	sívátur
válsligur	sívátur
válur	sífjall
vána	síkeðiligur,óheppin
vánadjór	sísjúklingur
vánafólk	Samheiti:harkalapakk,harkalið,herkalið,hundasáð,illmold,illmoldartorva,írahópur,írapakk,írareppur,írasáð,óvandaslag,pakk,partaní,partaníggj,rann,sáð,turpalapakk,útskot,útskotspakk,vánaslagóvandað fólk;sum er av (so) ringum slag, sprottin av illum runni↔baktalari,dygdarleysur,lágborin,óflýggjakroppur,órøkjutur,ótrivavætti,vánamaðurAndheiti:hampafólk,kjør
vánajørð	síjarðarstykki
vánaligur	síbíligur,dygdarleysur,fátækur,keðiligur,kraftleysur,óheppin,sjúkur
vánalív	sígerandislív
vánalutur	síkloddakot
vánamaður	Samheiti:armingi,avlop,ábyrgdarloysingur,barbak,blágóma,blágómi,bloyta,bloytingur,bløka,borðsvíkur,bóndaflókur,burturkast,deigdirðil,dertingur,deydaleika,dilkadrongur,dirðil,dólgur,eftirgangari,eftirgloymingur,eiti,eitlagreipa,eymingi,fánýti,fjallskítur,flókur,frell,gorlakki,gorlakkur,halaslettingur,harmamaður,hím,hímingur,hosa,illroyningur,ífylla,kíkatøppur,kloddi,kotringur,kreiningur,kreym,krop,kropmagi,krota,kúbumpil,kvørkviski,kvørkvisni,kýsi,lasafar,leggald,lítarloysi,lítilmenni,lortaprinsur,lortendi,lortheykur,lorthundur,lortur,lókur,lúsaskarvur,løra,manntýggi,manseiti,manstandur,meiðvongur,moldarskítur,mosabóndi,móskítur,mubbur,myrivongur,mýrivongur,nalvungi,neyðaradýr,neyðarbeist,neyðardjór,neyðardýr,neyðarfár,neyðarmaður,neyðarting,neytakona,olmussubeist,olmussudrongur,olmussudýr,olmussugenta,olmussumaður,ódugnabjølgur,ódugnabóndi,ódugnadjór,ódugnadýr,ódugnakroppur,ódugnamaður,ódugnavætti,óeydnismaður,óeydnumaður,ógvæta,ólukkudýr,ómagi,ómenni,ómenska,óniringur,ónytta,óskepnumaður,ótvask,ótvætti,óvætti,óæra,rakbeist,rakbendil,rakhosa,rytta,sjálvvætti,skarvsbløka,skemd,skemdarmaður,skemdarvætti,skendsil,skepilsi,skítur,skomm,skinkl,skrinkilsbein,skrinkl,skrintl,skrípi,skrovbak,skræpureyv,skølingur,skøndil,slyðri,sløkja,smámenni,sneiðari,sparlakur,spjað,spjálk,spjøð,spjørr,spott,stakkal,stakkaladýr,státa,státari,steggi,steyrvongur,stúkusiglari,svíkur,tandur,tekin,tiltak,torparasveinur,trog,tvagreyv,tvøga,tøðhólkur,undanstøkkingur,undirløga,uppgávudintil,úrdrag,útraksl,útras,vaðskítur,vanegli,vanigla,vanigli,vanlukkudýr,vanmenni,vansjón,vatnknokkur,vavvur,várhólgi,veiklingur,vendilókur,vesaladýr,vesalafólk,vesalamaður,vesalavætti,vesalingur,viðfáningur,villaveiggj,vætti,vørðuskítur,vøttur,æruloysingureitlagreipa t.e. tvey ódugnavætti;eitt einki;eitt null;hvør reyv;hvørs mans tvøga;neyðar menniskja;□Gud náði meg fyri bónda, fríggjara, sjómann o.fl.;hann drepur ikki lús millum tollin;hann stendur ikki úr rossaspori;hatta dugir ikki at flysa sær eitt epl(i);hatta dugir ikki at kóka vatn;hatta dugir neyvan til køstaskoðara;hatta er ikki annað enn ein svidningur;hatta er sum ein myrivongur, mýruvongur;hatta er tann greipan, maðurin, ónyttan ið er;hatta nyttar ikki til at blaka burtur, ikki til nakað;mangt fer um havið;mangur fæst við boga...↔baktalari,bangin,busutur,dygdarleysur,eftirbátur,kraftleysur,kuldakráka,latur,lágborin,óflýggjakroppur,órøkjutur,ósmidliga,ótrivavætti,ræða,ræðast,ræðsla,ræðuskítur,vansketni,vánafólkAndheiti:avtakafólk,álitismaður,kjør
vánaslag	sívánafólk
vánatíð	Samheiti:avynnudagur,avynnutíð,bardagaár,feigdarár,fellisár,fellisvetur,fimbulsvetur,grindaloysi,hallár,harðvetur,hungursár,hungursdagur,hungursmánaður,hungurstíð,hungursvetur,ísár,kavaár,kavamánaður,kavavetur,krepputíð,krígstíð,kryplingsár,kuldavár,kuldavetur,lagnudagur,lagnuløta,lagnustund,misár,neyðarár,neyðardagur,neyðarstund,neyðartíð,niða,niðurgongutíð,óár,óeydnudagur,ófriðartíð,ógvár,ógævutíð,ónýtisdagur,óterraár,óterradagur,rakár,raktíð,rókadagur,skaðaár,skaðadagur,skaðamánaður,skaðamáni,skaðanátt,skerpingsvár,snakidagur,snákidagur,sorgardagur,sorgartíð,stráøld,stúkudagur,súpanarár,trongdartíð,vaðskítadagur,vandastund,vandatíð,vanlukkudagur,vattasummar,váðastund,vetrarmagn,øskudagur,vindár(krígstíð)krígsár,stríðsárdapur, stríggin dagur;døpur tíð;óeydnisdagur, -løta, -tími o.fl.;óeydnuár, -kvøld, -stund o.fl.;ringar, vánaligar tíðir;ringt ár til fisk, gróður, seyð o.fl.;ringt berár, berjaár, eplaár, fiskiár, grasár, grindaár, hýsuár;ringt kornár, kópaár, seiðaár, seyðaár, skurðár, terraár;ringur áringur;svangligar, trongar tíðir;tann illa løtan;vánaligt innløguár;□hagin er illa lambaður;hetta kann órógva lembingina;lambingin er ring;tað er illa lambað↔avynnumaður,deyði,ódnardagur,ólagna,vandiAndheiti:innløgutíð
vánaveður	síillveður
vándur	símannvándur
váningur	síillgruni
vánir	síframtíðarútlit
vápn	síknívurSamheiti:álopsvápn,banavápn,eiturevnavápn,eiturvápn,eldvápn,handvápn,hervápn,høggvápn,kjarnorkuvápn,krígsvápn,loynivápn,skotføri,skotvápn,vákn↔bumba,búgva út,dubbing,herbúgvin,knívur,tilbúgvin
vápna	síbúgva út
vápnabrak	síljóð
vápnabrestur	síljóð
vápnaburður	síkríggj
vápnadubbing	sídubbing
vápnadun	síljóð
vápnaður	síherbúgvin
vápnafimur	sískjótførur
vápnafundur	síkríggj
vápnaførur	sítilkomin
vápnagangur	síkríggj
vápnagerð	sídubbing
vápnagný	síljóð
vápnagoymsla	sígoymsla
vápnahandil	síhandilsskapur
vápnahvíld	síbíðan,friður,hvíld
vápnaídnaður	sídubbing
vápnakappdubbing	sídubbing
vápnaleikur	síkríggj
vápnaleysur	síóvardur
vápnamegi	sívald
vápnaprógv	síeyðkenni
vápnaskjaldur	síkríggj
vápnasmíð	sídubbing
vápnastríð	síkríggj
vápnasøla	síhandilsskapur
vápnleysur	síóvardur
vára	sílíða
várað	síútliðið
várbeita	sígrasa
várbeiting	sígrasa
várbitin	síavgnagaður
várdeyði	sídeyði
várfeitur	síhovin
várfiskaleið	sífiskileið
várfiski	sífiskiskapur
várfiskur	sífiskur
várfjall	síseyðarakstur
várfjøra	sífjøra
várfrost	síkavi
várfuglur	sífuglur
várgeldingur	síseyður
várgisin	sírakfallin,svunnin
várgjóstur	sívindur
várgonga	síseyðarakstur
várgróður	síurt
várgrunnur	sífiskileið
várgrynna	sífiskileið
Várharra	síGud
várhálmur	síhálmur,matur
várhálva	síhelmingur
várhólgi	síhálmur,pinkulingur,vánamaður
váring	sídyrking
várkavi	síkavi
várkálvur	síneyt
várklukka	sífuglur
várkuldi	síkuldi
várkunn	sífyrigeving
várkunnsamur	sítolin
várkúgv	síneyt
várleið	sífiskileið
várleingja	síbeinaræ,seyður
várloystur	síísfríur
várluft	síhimmalhválv
várlýkka	síhiti
várlýsi	síljósglæma
vármið	sífiskileið
vármøði	símáttloysi
várrak	sísoltinskapur
várrakstur	síseyðarakstur
várregn	síregn
várreka	síreka seyð,spekja
várroynd	sípróvroynd
várróður	sífiskiskapur
várrætt	síseyðarætt
várseiður	sífiskur
várseta	sívaktarhald
vársild	sífiskur
várskerpingur	sívindur
várskip	sísjófar
várskrokkur	síbeinaræ,seyður
várskýming	sídimmi
vársól	síljósglæma
vártari	sítari
várting	sívald
vártingsbók	síyvirlit
vártreystur	sísterkur
vártúrur	sítúrur
várull	síull
várvátt	sískríggj
várveður	síveðurlag
várveikur	sífátækur,rakfallin,útmøddur
várvinna	sídyrking
vás	síarbeiði,baksan,fyrireiking,til stásbrúk
vásaklæddur	síílatin
vásaklæði(r)	síklæði(r)
vásakøkur	síhøli
vásaligur	síveðurbardur
vásarbeiði	síarbeiði
vásast	síarbeiða
vásbrúk	sítil stásbrúk
vásbúni	síklæði(r)
vásferð	sítúrur
vásharður	síraskur
vásklæddur	síílatin
vásklæði(r)	síklæði(r)
vásmaður	síavtakafólk
