ydda	síspíska
yrkja	sílúgvaSamheiti:enduryrkja,kappyrkja,rímabotna ørindi;gera, seta saman (eina) yrking;skriva á bundnum máli;skriva poesi;skriva, yrkja kvæði(r), sangir, sálmar, yrkingar, o.fl.;gera, smíða stev, ørindi o.fl;yrkja afturat;yrkja afturímóti;vera rímari, skald, yrkjari, ørindasmiður o.fl.↔rithøvundur,sangur,skald,skriva,tungumál
yrkjari	sískald
yrkorð	sínavn
yrkudagur	síyrkadagur
ysta	síharðna
ystast	síharðna
ytri	sífjarskotin,uttaná
ytst	sífjarskotin,uttarlaga
ytstifingur	sífingur
ytstur	sífjarskotin,uttaná
yvir	síovarlaga,ríkiliga
yviralsklæði	síklæði(r)
yvirarbeiði	síarbeiði
yvirav	síáraka
yvirbekkur	sísessur
yvirborð	síyvirflati
yvirborin	síførligur,hovin
yvirbragd	síeyðkenni,útsjónd
yvirbragð	síeyðkenni,útsjónd
yvirbrá	síeyðkenni,útsjónd
yvirbregði	síútsjónd,vinnari
yvirbregðin	sístoltur
yvirbrigdi	sívinnari
yvirbrigði	sívald
yvirburður	sívald
yvirbyrjaður	síavtakin
yvirdráttur	sílán
yvireingil	síævintýrhugtak
yvirerving	síoverving
yvirferð	síaldrandi,túrur
yvirflati	Samheiti:innsíða,jarðarskorpa,jarðaryvirflati,jarðflati,jørð,skorpa,steinhválv,úthamur,útsíða,yvirborð,yvirsjónd,ýta(skal)eggjakoppur,eggjaskal,eplaflus,eplaskal,flus,hylki,klíggj,kornsáða,rótaskal,sáð,sáða,súreplaflus,útskinn(vatnsmáli)vatnskorpa,vatnstøða↔hinna,húð
yvirflóð	sínøgd
yvirfólk	síoddamaður
yvirgangskroppur	síóflýggjakroppur,tjóvur
yvirgangsmaður	síatsóknarmaður,óflýggjakroppur,tjóvur
yvirgangsverk	síbrotsverk
yvirgangsvirksemi	síbrotsverk
yvirgangur	síbrotsverk,hóttan
yvirgerðarmaður	síóflýggjakroppur
yvirgeva	sítapa
yvirgivin	símannvándur
yvirgonga	sífrest,seyðarakstur
yvirgongd	sífrest
yvirhagi	síjarðarstykki
yvirhallur	sísjóringur
yvirhiti	síhiti
yvirhonds	síógvuliga
yvirhoyra	sítráspyrja
yvirhoyring	síspurningur
yvirhugaður	síáhugaður
yvirhugi	sívreiði
yvirhøvd	síhøvuðskál
yvirhøvur	síofta
yvirjarðligur	Samheiti:gudaborin,gudborin,guddómligur,guddómsligur,gudvígdur,himinligur,himmalskur,himniskurikki av hesari jørð;ikki av hesi verð;ikki av hesum heimi↔andligur,átrúni,bíbilskur,Gud,himnaríki,JesusAndheiti:forgeingiligur
yvirkarði	síkarði
yvirklæði(r)	síklæði(r)
yvirkoyggja	síseingjarstaður
yvirkoyrdur	sísamanbrestur
yvirkroppur	sílikam
yvir land	sílandvegin
yvirlendi	síberg
