r	síjavnstrokin
rakstrarveður	sígóðveður
rakstur	sífiskiskapur,jarðarstykki,seyðarakstur,seyður,strekki
raktíð	sívánatíð
raktrýningur	sískótrónur
rala	síljóða
raman	sídyggiliga
ramaróp	símótmæli,skríggj
ramaskríggj	símótmæli,skríggj
ramføroyskur	síføroyskur
rami	síluktur,smakkur,vatn
ramliga	sídyggiliga
ramligur	símálmikil,smakkringur,sterkur
ramma	síberja,granni,útlinja
ramma inn	síranda
rammi	síútlinja
rammusáttmáli	sísemja
ramsa	síramsa upp,uppreksan
ramsaltur	sísaltur
ramsa upp	Samheiti:ramsa,reksa,remsa,rollalesa reksu;læra, siga á ramsu;reksa, remsa, rokna, rolla, telja upp;rokna upp á fingrunum;siga ramsu(telja)rokna,fínteljagera yvirlit;skriva í manntal;telja niður t.e. telja aftureftir↔uppreksan
ramur	síillramur,mannvándur,raskur,smakkringur
rand	sístrika,útlinja
randa	Samheiti:kransagera ring, rond um;vera karmur, ramma um...(avmarka)áseta, vera mark fyri, um;seta í klombur(byrgja)ringa, ringja, steingja inni(ramma inn)gera rammu um;groypa (við øðrum tilfari)(seta kant á plagg)falda,kanta,kringsetaleggja við bordum;stakkurin er borðalagdur(umringa)avmanna,kringrenna,kringsetagera manngarð um;gera, sláa ring um;manna av;manna seg um e-t;ringa, ringja inni↔avbyrgdur,garður,gera brot á,mark,útlinja
randaður	síavbyrgdur
randarformur	síformur
randargný	síkríggj
randarhús	síbygningur
randarný	síkríggj
randformur	síformur
randhvítur	sílitaður
randreyður	sílitaður
randseyma	síseyma
randseymur	sístingur
rangarnagli	sínagli
rangasnúður	sísnúður
rangatoft	sísessur
rangblak	sívindur
rangeyga	síoygdur
rangeygutur	síoygdur
ranggerð	síbrotsverk
ranghentur	sívinstrhentur
ranghugsan	sískeivleiki
ranglaðin	sílaðin
rangleiki	sískeivleiki
rangliga	síóreiðiliga
ranglisin	síósannur
ranglýsing	síósannindi
ranglæra	síósannindi
ranglæti	sísvik
rangmintur	sígloymskur
rangmynd	símynd,skeivleiki
rangoygdur	síoygdur
rangsettur	sílaðin
rangsinnaður	síófúsur,vreiður
rangsintur	síófúsur
rangskygdur	síheimføðisligur
rangsnúður	sísnúður
rangsnúgva	snúgva e-m øvutan veg;venda e-m, e-t á høvdið, á ranguna;venda e-m upp og niður;venda (klæðum) við;venda ranguna (á e-m) út↔øvutur
rangsnúgvin	síóvanligur,øvutur
rangsovari	síkvøldmaður
rangstoyttur	sílaðin
rangsvøvntur	sísvøvntungur
rangt	síóreiðiliga
rangtrúgvin	síheiðin
rangtýða	síumseta
rangtýðing	sískeivleiki,týðing
rangur	síósannur,øvutur
rangurkalvi	sífiskur
rangverdur	síøvutur
rangviðaður	sískeivvaksin
rangviður	síviður
rangvindur	sívindur
rangvørgur	síófúsur,øvutur
rani	síjarðarstykki,nøs,oddur,slintra
ranka	síbyggja,ferðast,ganga
rankari	sírekavætti
rankast	síferðast,ganga
ranki	sístápil
rankur	sífattur,sjóringur
rann	síbygningur,vánafólk
rannsaka	síkanna,leita
rannsakan	síkanning
rannsókn	síkanning
rannsóknarferð	sítúrur
rannsóknari	sífróðarmaður
rannsóknarmaður	sífróðarmaður
rannvála	síleita,órudda
rannvæla	síkanna,leita,órudda
ransón	sípartur
rap	sífall,omanlop
