r	síjavnstrokin
reinsingareldur	síreinsiverk
reinsiverk	Samheiti:oljureinsiverk,reinsarí,reinsibrunnur,vatnreinsiverk(reinsanareldur)reinsingareldur↔reinføri,skiljari,vasking
reinska	síreinføri,rudda,vaska
reinskan	sískiljing,vasking
reinskolaður	síreinur
reinskorin	sítilgjørdur
reinskrift	sískrift
reinskriva	sískriva
reinskriving	sískrift
reinskúraður	síreinur
reint	síógvuliga
rein tálg	sífitievni
reintonktur	síheiðurligur
reintvigin	síreinur
reinur	sídjúpur,einskærur,glærur,góðsintur,greiður,ósekur,sannurSamheiti:bláreinur,gullreinur,nýtvigin,nývaskaður,ódálkaður,ósmuskaður,reinhentur,reinligur,reinsaður,reinskolaður,reinskúraður,reintvigin,reinvaskaður,sandskúraður,skúraður,skrubbaður,skirur,skírur,skærur,vaskaðurskyggjandi reinur;sum gullið bjarta;sum sólin↔húsligur,reinføri,rudda,ruddiligur,rudding,vaska,vaskingAndheiti:óruddiligur,skitin
reinvaskaður	síreinur
reip	síband
reipa	síboyggja
reipatari	sítari
reipatveitan	sílevind,orðaskifti,ósemja
reipsband	síband
reipsendi	síband
reipstveitan	sílevind,orðaskifti,ósemja
reis	síføðingSamheiti:atløga,ferð,sinn,sinni,reisa,skifti,umfar
reisa	síbrenni,byggja,byrja,ferðast,reis,túrurSamheiti:endareisa,sporðreisa,tvíreisa (torv)lyfta e-n úr sæti;reisa e-n;reisa, seta upp;seta á løgg, upp eftir enda, kanti(reisast)sporðreisastbróta seg upp;fara fram á gólv;fara, leypa, springa á føtur, upp;fara, standa upp;hava, stríða seg á føtur;lætta afturpartin, reyvina (uppfrá);lætta sær á;reisa seg;reisa seg, reisast úr sæti;seta beinini undir seg;seta seg upp, setast upp undir seg;taka seg uppvið (um børn)(hækka)hevja(hækkast)hækka,leingjast,størrast,togna,vaksagerast hægri;hevja seg(ganga upp)reisakvinka upp, uppeftir(rísa)rennadaga undan í havsbrúnni;koma, renna, rísa upp;koma undan, undan kavi, úr kavi;rísa úr kavi(fara uppeftir)fara niðan, upp á e-t;flyta, hava, taka seg uppeftir;hevja seg;lyfta seg;stíga upp fyri e-t↔standa,steyrrættur,størrast,tognaAndheiti:falla,flata niður,kollvelta,sessa,sessast
reisast	síhenda,reisa
reisigildi	síveitsluhald
reisikúgv	síneyt
reistla	síroðsla
reistur	síbati
reita	síarga,hugsæra
reitast	síilskast
reitingarsamur	síargingarsamur
reitingur	sísjóvarilska
reiv	síhúð
reiva	sídubba
reivabarn	síbarn
reivaður	síumvavdur
reivlingur	síbarn
reivvera	sídjór
rek	sírák,streymur
reka	síarbeiða,jagstra,noyða,reka av leið,reka seyð,reka úr starvi,tyngjaSamheiti:draga,hvøkka,súgadraga inn, út;fara, gnaga, hava, kveikja, reka suður, vestur o.fl.;fara skáldandi;fara sum eftir ánni;reka hart, spakuliga;reka við mígandi ferð(reka á luftini)draga, reka av einari ætt;□tað er rák á, í luftini↔rák,reka av leið,streymur,vindur
reka av leið	Samheiti:dríva,rekadríva av;dríva, reka av kósini;dríva undan veðrinum;fara at reka, á rák;fara flótandi, rekandi, streymandi o.fl.;fara við fallinum, rákinum, streyminum o.fl.;koma í drift;leggja fyri rák t.e. leggja seg at reka;liggja fyri ráki;reka av leið;reka fyri vág og vind;taka skeivt streymlop;vera á reki(rikin av leið)avdrivinatrikið t.e. rikið nærri landi;farin av kós(ini);komin í drift(reka á land)reka uppkoma, reka, skola, sláa upp á land;leggja, leggjast upp(rikin (upp) á land)upplagdurskolaður, sligin upp á land(á reki)drívandi,rekandi↔botna,rák,reka
reka á land	síreka av leið
rekafiskur	sífiskur,strandvarp
rekafjøra	sístrond
rekafløska	sífløska,strandvarp
rekafuglur	sífuglur,strandvarp
rekagóðs	sístrandvarp
rekagrót	sígrót
rekagummi	sístrandvarp
rekahvalur	síhvalur,strandvarp
rekaísur	síkavi
rekalíkindi(r)	síveðurlag
rekamaður	síinnløgumaður
rekamina	síbumba,strandvarp
rekandi	sílandvegin,reka av leið
rekapláss	síinnløgupláss
rekapostur	sípakkapostur,strandvarp
reka seyð	Samheiti:rása,reka,ræla,ræsa,rætta,støðla,søkja,várrekafara á fjall, burtur í haga;fara at reka, á fjall, reka í royting;fara, vera at seyði;fáa sær dilk;ganga aðru gongu;ganga á fjall;ganga fjøllini, heystfjøllini;ganga, vera burturi í haga;gera (eina) uppgongu;hyggja eftir seyði, til seyðin;rása, ræla, ræsa, rætta seyð;reka haftseyð;reka saman;røkta seyð;støðla seyð;taka brund, brundseyð, jólaseyð;taka seyð á føri, føti, uttanrætta;vera á fjalli í jólaseyði;vera á fjalli, rakstri, rekstri, røkstri, vera og reka;vera til seyða;□fjøllini eru gingin(hundbeita)akta,beita,hunda,hundtaka,pusa,trábeita,veiðaakta, beita, taka við hundi;taka seyð uttanrætta t.e. taka við hundi;veiða loðær, vargalamb↔jagstra,seyðarakstur
rekaspritt	sírúsdrekka
rekast	síferðast,ganga
rekasteinur	sígrót
rekastokkur	sístrandvarp,viður
rekastøð	síbryggja
rekatari	sístrandvarp,tari
rekatræ	sístrandvarp,viður
rekatunna	síkassi,strandvarp
reka upp	síreka av leið
reka úrstarvi	Samheiti:koyra,reka,rena,rennaúrlima;døma frá embætinum;geva e-m durafjórðingin, fótin, reyða kortið, sekkin, sparkið, uppsøgn;koyra av bátinum, skipinum, í land;koyra, loysa, reka, siga úr embæti, starvi;koyra, seta av, frá;koyra, seta, skúgva, skumpa, e-n til viks;reka e-n av garði;reka frá;siga e-m upp;taka e-n av ráði, ræði, taka ráðið, ræðið, valdið (av, frá e-m)(útihýsa)fjóna,forfjóna,sjugga,sjúgga,sjúgva,útilokaassa, kísta, kúsja, kústa, kveistra e-n burtur;beita, koyra, reka, senda, styggja e-n burtur, frá sær;fjóna, forfjóna e-n;frysta e-n burtur, út;halda e-n uttanfyri;koyra e-n í stakapart;koyra í ókunnuvarða;koyra, rena, renna av húsunum, á dyr, gátt, geilar, burtur, frá sær, út;læsa, steingja e-n úti, fyri e-m;ota e-n út á sjógv;ota, troka e-n burtur;reka á flótta, burtur;seta e-n á svartalista;seta e-n til síðis;sjugga, sjúgga, sjúgva, sjúka, skúgva burtur, frá sær, til viks;stoyta, tvørstoyta frá sær;útihýsa e-m;vísa e-m burtur, út;vísa e-m durafjórðingin↔arbeiðsleysur,arbeiðsloysi,avlagdur,avtøka,frákoyrdur,heimleysur,missa starvið,trokaAndheiti:hýsa
rekaviður	sístrandvarp,viður
rekavætti	Samheiti:bygdastrok,farakund,farakunda,farakundi,farakundur,farumkring,ferðkøttur,fjakkari,flakkari,flákr,garðstrok,geilastrok,gongukallur,húsagarðsmát,húsastrok,korkanálga,landastrok,landsstrok,mal,meldurfressur,meldurfretur,meldursteffan,oyggjagleiv,rankari,rennari,ríggja,sleingja,startireyv,strok,strokafyl,strokavætti,stræta,túnastrok,túnstrok,tvøga,útiseta,útistrok,valtrari,veðurhani(fjakk)skotabrundur,skotalamb,skotaseyður,strokahundur,strokalundi,strok,strokhavhestur,strokfuglur,strokungi(heimloysingur)gøtubarn↔burturstaddur,ferðafólk,ferðahugur,ferðast,heimleysur,heimloysi,víðfarinAndheiti:innimaður
rekaætt	sívindur
rekaøða	sístrandvarp
rekfiskur	sífiskur
reki	sístrandvarp,viður
rekil	sífløkja,rakdirðil,tríalingur,vavstur
rekja	sínágreina
rekkja	síhaldari,seingjarstaður
rekkjubundin	sílega
rekkjulagstur	sílega
rekkjuváðvomb	síátari,likam
rekkur	síavtakafólk
rekkverk	sírimaverk
rekmáttur	símegi,oddamaður
rekmegi	símegi
rekningur	síseyður
reksa	síramsa upp,uppreksan
rekseymur	sínagli
rekspónur	síviður
rekstrarboð	síboðan
rekstur	sífiskiskapur,seyðarakstur
rekstøð	síbryggja
rektari	sílærarafólk
remban	síátak,rørsla
remba seg, sær	sírembast
rembast	síførkaSamheiti:mýkja limirnar,remba seg, særliða seg;mýkja liðir, vøddar o.fl.;rætta, strekkja armarnar, beinini, ryggin o.fl.;toyggja, vriða, vríggja seg↔boyggja,førka,rista,rørsla,viðbragd
rembi	sístoltleiki
rembing	sírørsla,sjóvarilska
rembingartíð	síbroyting
rembingur	sísjóvarilska
remma	sísmakkur
remsa	síramsa upp,uppreksan
remsast	síførka,vakna
rena	síførka,reka úr starvi,stinga
rend	sírák,túrur,vitjan
rendur	sífrákoyrdur
renna	síá,búnast,dreya,floyma,flutningsband,førka,grógva,líða,reisa,reka úr starvi,skunda sær,stinga,tøma
rennan	síbráðna,renning,túrur
rennari	síduk,fiskur,rekavætti,ross,teppi
renna saman	sísamanbrestur
rennibreyt	síkoyrivegur,stað
rennihurð	sílok
rennikavabøkil	síkavi,toka
rennikavaskýggj	síkavi,toka
rennikavaæl	síkavi
rennikavaælingur	síkavi
rennikavi	síkavi
renniknútur	síknútur
rennil	sínøs,ótangi,ringur
rennilás	sílás
rennimát	símátingarband
renning	síbandSamheiti:boðrenning,forðarenning,kapprenning,maratonrenning,posarenning,rennan,renningarlop,rensl,skíðrenning,sporleypan,stálop,tuskan,tvíspor,tvísporing,undanrenning↔ganga,gonga,leypa,lop,skunda sær
renningarbreyt	síkoyrivegur
renningarlag	síarbeiðslag
renningarlop	sírenning
renningarstev	sídansingarháttur
renningarstig	sídansingarháttur
renningarstrongur	síflutningsband
renningarvatn	sívatn
renningur	sífiskur,rák
rennisjógvur	sírák
renniskræpa	síbúkilska,lortur
rennislettingur	síkavi
rennisót	sísót
rennistig	sídansingarháttur
rennistólur	síflutningsband
rennistrongur	síflutningsband
rennisúg	sírák
rennisúgur	sírák
rennisúgvur	sírák
rennitrappa	síflutningsband,trappa
renniælingur	síkavi
rennustokkur	sívatnleidningur
rennvátur	sívátur
rensl	sígonga,rák,renning,sjóvarilska,túrur
rensla	sígera aldu
renslast	síferðast
renta	síyvirskot
rentlast	síferðast
rentufríur	síkostnaðarleysur
rentuinntøka	sígjald
rentuleysur	síkostnaðarleysur
rentumaður	síríkmaður
renturenta	síyvirskot
renturokning	síútrokning
rentuseðil	síváttan
rentuskattur	síavgjald
rentuskái	sífrest
rentustudningur	síhjálp
repa	sísigla
repanaknútur	síknútur
repil	sínøgd,riðil
replissa	síband
repp	sífiskileið,næstan,nøgd
reppur	sínæstan,nøgd,ótangi
ressast	sílekjast,vakna
rest	síavlop,hvíld,streymur
resta	sítróta
restandi	sítróta
revil	síafturpartur,viður
revla	síklára í,leggja á
revlaklæðing	síveggur
revsa	sítykta
revsast	sílekjast,vakna
revsiarbeiði	sírevsing
revsidómur	sídómur
revsifangi	sífangi
revsilóg	sílóg
revsilsi	síbati
revsing	Samheiti:bargeil,bótargerð,deyðarevsing,fongsulsrevsing,lívsfongsul,revsiarbeiði,revsingararbeiði,slavarí,straff,straffur,tvingsilsarbeiði(dagbót)bót,sakarbót,sekt,stevnufall(tyktan)hartan,harting,nefs,neps,nepsing,tukt,tykt,tykting(líða revsing)bøta,høsna,sitaganga undir dóm;geva seg undir dóm;gjalda bót;gjalda dagbót, dagbøtur;gjalda, líða, svíða fyri e-t;gjalda manngjøld, mansbót;gjalda seg leysan;taka við dómi, revsing o.fl.;verða dømdur, revsaður↔brotsmaður,brotsverk,dómur,døma,fangi,fongsul,sita í fongsli,syndastraffur,tykta
revsingararbeiði	sírevsing
revsingardómur	sídómur
revsingarleysur	síósekur
revsingarlóg	sílóg
revsingarorð	síillsinnisgleps
revsiverdur	síólógligur
revskinn	sísvikari
revsmaki	sísvikari
revtík	síkvennvera
revur	síleyslyntur persónur,svikari
reydleittur	sílitaður
reydligur	sílitaður
reydlitaður	sílitaður
reydlittur	sílitaður
reyðagras	sígras
reyðaviður	síviður
reyðbelta	sífiskur
reyðbláur	sílitaður
reyðbotnaður	sílitaður
reyðbrúnur	sílitaður
reyðbrystingur	sífuglur
reyðdæmdur	sífríðdæmdur,litaður
reyðfiskaeyga	sífiskileið
reyðfiskaleið	sífiskileið
reyðfiskamál	sírødd
reyðfiskaprógv	síváttan
reyðfiskur	sífiskur
reyðflekkutur	sílitaður
reyðføttur	sílitaður
reyðgulur	sílitaður
reyðgyltur	sílitaður
reyðholdaður	sílitaður
reyðhærdur	sílitaður
reyðiviður	síviður
reyðkembingur	síhvalur
reyðklæddur	sílitaður
reyðkollur	sífuglur
reyðkot	sífiskur
reyðlitaður	sílitaður
reyðlittur	sílitaður
reyðmálaður	sílitaður
reyðnasaður	sílitaður
reyðoygdur	sílitaður
reyðprikkutur	sílitaður
reyðpuntutur	sílitaður,puntutur
reyðrandaður	sílitaður
reyðrognkelsi	sífiskur
reyðryggjutur	sílitaður
reyðskeggjutur	sílitaður
reyðskortaður	sílitaður
reyðsokkur	síkvinna
reyðsokkutur	sílitaður
reyðspógvi	sífuglur
reyðsprøka	sífiskur
reyðtari	sítari
reyðteinutur	sílitaður
reyðtomba	sífiskur
reyður	sílitaður
reyðviðaður	sírotin
reyðviður	síviður
reyðæti	síyngul
reyla	síferðast,ganga,hindra
reyn	síjarðarstykki,oyðistaður
reyp	síreypariSamheiti:avgerð,bragg,braggorð,brasni,breggj,fubb,gabb,gal,geip,geipan,goff,gumm,háróp,hól,orðabrask,orðagangur,orðageip,orðagjálv,orðaskolan,orðaskvaldur,orðskvaldur,prál,reypan,rokan,ról,sjálvreyp,sjálvrós,skról,skrøgg,steypareyp,stórorð,tjóðskaparreyp,varraskvaldurstór orð;stórorðað tala;veip og geip↔reypa,reypari,reyputur,róphol,upp á rós,upplop
reypa	Samheiti:bragga,brala,bralla,braska,breggja,fubba,gabba,galdra,gáka,geipa,glorva,glóra,goffa,gora,gorpa,gorra,hóla,kjaftast,kneysa,munnsleipast,mýla,prála,róla,rópa,skreppa,skróla,skrumma,skrøgga,trónabilla sær inn;breggja sær (av e-m);breiða seg;bresta við nakkanum;bretta sær (á);brúka, skræða seg (um e-t);brúka gák, kjaft, munn, seg;brúka geilatíkina, jemmilin, leikindini;brúka, hava ein fúlan, ljótan munn, gák, kjaft;brýggja seg;brýna mussaskøðið;drifta sær;erpa sær;erra sær (á);fetta sær sum spelkin hani;ganga og hóreiggja;ganga sprettur á belti;ganga sum ein geilatík, livurstelkur;gera (ov) (nógv) av;gera seg hástóran, størri enn ein er, uggabreiðan;gera seg upp;gera, vísa hvítt;halda nógv um seg sjálvan;halda nógv um seg standa;halda seg vera;hava breiðan gák, kjaft, stóran mør, stórt sjálvsálit;hava nógv á munni;hoppa sum lunga yvir mati;hóreiggja sær;hyggja niður á hini;ikki halda kjaftseilina saman (á sær);látast sum øll (hini) eru rusk;leggja sær e-t til;mýkja, sleipa gákin, geilatíkina, kjafthongslini, kjaftin, seg;mýla kjaftbeini;nýta stór orð;roka í eyga;roka upp;royva sær;rósa sær (av e-m);seta nasarnar í ský;siga meira enn ein kann standa við;siga meira enn í hálsin gongur;sita og mýla um e-t;sita sum eitt tólvmannahol;skreppa sær (av e-m);skræða seg;sláa upp á nakka;smyrja tjúkt uppá;ríva seg;taka dýran, rívan til;taka (ov) stór orð í munnin;taka (upp í) fullan munn(in);tosa erpisliga;vera erpin, errin, stoltur o.fl.;vera fittur, raskur, stórur í gákinum, kjaftinum, mussaskøðnum, munninum;vera raskastur oman fyri hálsvølin, hálsvølugeislan, hálsvøluna;vera raskur at brúka seg;vera stórorðaður, stórur í ondini, stórur upp á tað;vera svinn sum ein hundabrúður;vera tann beri gákur, kjaftur;□hvør skal siga "her komi eg"(hatta er sum ein piparmylla)hann rokar í eyga;ikki stendur seilin saman á hasum;kjafthongslini standa ikki still á hasum;muðurin gongur sum ein piparkvørn;munnurin er (røkkur) aftur at oyrunum;nú rokar í eyga hjá honum;tað hoyrist ikki mannamál fyri honum↔erpisliga,reyp,reypari,reyputur,róphol,siga,stoltleiki,stoltur,upp á rós,upplop
reypan	síreyp
reypari	Samheiti:braggari,breggj,breggjari,erpikjaftur,frebbi,fubbari,gabb,gabbari,gabbi,geipari,goffari,goffur,gorrari,gorrus,gumm,hárloypingur,orðavargur,prálari,reyp,rólari,skjaldrari,skreppingur,skról,skrólari,skrólhálsur,skrummari,skræðingur,skræðugákur,skræðukjaftur,skrøgg,skrøggari,stórikjafturberur gákur, kjaftur, tað er tað henn er↔reyp,reypa,reyputur,róphol,upp á rós,upplop
reypsamur	síreyputur
reyputur	Samheiti:braggaligur,braggutur,brandutur,braneggjaður,brasin,bráðorðaður,bráðsagdur,bráneggjaður,breggjutur,dastin,destin,gabbutur,geiputur,goffutur,háfloygdur,kjaftbreiður,kjaftreystur,orðamikil,orðmikil,ógvorðaður,óflongdur,óorðaður,reypsamur,reystnasutur,skrøggutur,stórorðaður,stórætlaður,uggabreiður○sum hevur ljótan munn;□hatta bara gapar og goyr, goyr sum ein frúarhundur;hatta goyr sum ein varðtík, varðtútur;onkur mátti tikið um gákin á hasum↔reyp,reypa,reypari,róphol,upplopAndheiti:fólkaligur,hóvsamur,lítillátin
reyst	sírødd
reystiliga	símanniliga
reystkappi	síavtakafólk,kraftamaður
reystkempa	síavtakafólk,kraftamaður
reystleiki	sídirvi
reystliga	símanniliga
reystligur	sídjarvur
reystmaður	síavtakafólk,kraftamaður
reystmansliga	símanniliga
reystmansligur	sídjarvur,sterkur
reystmenni	síavtakafólk,kraftamaður
reystmæltur	símálmikil
reystna	síernast,lekjast
reystnaður	síbatnaður
reystnasutur	síreyputur
reystur	sídjarvur,fattur,raskur,sterkur,steyrrættur
reystvaksin	sísteyrrættur
reyv	síafturpartur,oddur,rúsdrekka
reyvarfall	sífall
reyvarfíl	sífiskiskapur
reyvargras	síhár
reyvargráur	sílitaður
reyvarhol	síóflýggjakroppur
reyvarhvítur	sílitaður
reyvari	síkynvillingur
reyvarlittur	sílitaður
reyvarlummi	sílummi
reyvarmorreyður	sílitaður
reyvarringseyga	síblindur
reyvarringur	síóflýggjakroppur
reyvarsíður	sídravlorkutur
reyvarskegg	síhár
reyvarsvartur	sílitaður
reyvarvátur	sívátur
reyvast	síferðast,putla
reyvfíl	sífiskiskapur
ribbaldakendur	síófriðarligur
ribbaldi	síótangi
ribbaldur	síótangi
ribbingsligur	síveðurringur
ribbingssinni	sívreiði
ribbingsveður	síillveður
ribbingur	síillveður,sjóvarilska
riddaraborg	síbygningur
riddarakrossur	síheiðursløn
riddarakvæði	sísangur
riddaraliga	síhøviskliga
riddaraligur	sífólkaligur
riddaramál	sítungumál
riddararegla	sífelag
riddaraskjøldur	sívernd
riddaraslag	síheiðursløn
riddarasvørð	síknívur
riddarasøga	sífrásøgn
riddari	síhermaður,ríðingarmaður
ridl	sívinglan
ridla	síganga
ridlin	síóstúttur,sjóringur
ridlingarsamur	síóstúttur
ridlisamur	síóstúttur
ridlutur	síóstúttur,sjóringur
rið	síherðindi(r),illveður,javnvág,sjóvarilska
riða	síganga,rugga
riða á	síjavnviga
riðandgerð	síketuatburður
riði	sínoða
riðil	sínøgdSamheiti:bíðirað,bíðirøð,blindastavrað,bókarað,bókarøð,bókstavarað,bókstavarøð,dregil,greinarøð,hali,húsarað,jaður,litarøð,knaggarað,mannhali,miðrað,mors,myndarøð,nummarrað,nummarrøð,orðarað,rað,raðan,raðfesting,raðfylgi,raðfylgja,raðskipan,repil,riðul,rúnarað,rúnarøð,røð,seymrað,stavarað,stavrað,talfylgi,talrøð,tankarøð,teknirøð,tekstarøð,tíðarrøð↔nógvur,nøgd,raða
riðkúgv	síneyt
riðmaður	síríðingarmaður
riðsæri	sísár
riðul	sínøgd,riðil
rifluskot	síbyrsuskot
rift	sífýrkantur
rigga	síeydnast,hóska væl
riglast	sígraður
rigna	sífúka,regna
rigningur	símastrartog,regn
rikin	sífrákoyrdur
rilka	síførka,rugga
rilka sær	sírista
rilpa	sírura
rilta	síførka,rugga
rim	síviður
rima	sígera skilarúm
rimabúr	sígoymsla
rimagarður	sírimaverk
rimagirðing	sírimaverk
rimahjallur	sígoymsla,turkirúm
rimahurð	sílok
rimakassi	síkassi
rimaleypur	síkassi
rimaportur	síinngongd
rimasong	síseingjarstaður
rimatjald	síforhang
rimatrog	sítrog
rimaveggur	síveggur
rimaverk	Samheiti:girdi,girði,girðing,rimagarður,rimagirðing,skíðgarður,stavgarður,stavverk,trægirðing,træverk,viðargarður,víggirðing(jarnverk)raðhald,rekkverk,trappuhaldjarnteinur(ar) t.e. jarnrim(ar)(stik)ravmagnsstik,stika,stikugarður(runnagirðing)runnastik↔avbyrgdur,garður,steingja,veggur
rimil	sífjørður,hylur
rimmarfastur	sífastur,sannur
rimmarlop	sílop
rimpa	sírukka saman,seyma
rimpil	sísjófar
rimpilsi	sígreði
rin	sískríggj
rinda	sígjalda,tveita
rindan	sígjald
ringa	síboyggja,hjóla
ringafesti	síketa
ringan	síkanska
ringast	síkanska,versna
ringbreyt	síkoyrivegur
ringdansur	sídansur
ringferð	síringrás
ringgongd	síringrás
ringhyrntur	síhyrntur
ringiklokka	Samheiti:bjølla,duraklokka,gullbjølla,jólaklokka,kirkjuklokka,klokka,skipsklokka↔kima,kiman
ringing	síkiman
ringja	síboyggja,flúgva,kima,ljóða,telefonera
ringkópur	síkópur
ringla	síljóða
ringlan	síljóð
ringleið	síringrás
ringleikhús	síbygningur
ringlomvigi	sífuglur
ringmerkja	sífrámerkja
ringmyrking	síavmyrking
ringongul	síhúkur
ringrás	Samheiti:jarðarrás,mánarás,ringferð,ringgongd,ringleið,ringrensl,ringrørsla,snurr,snúning,snúningur,umferð↔kring,ringur
ringrensl	síringrás
ringrørsla	síringrás
ringskapaður	sírundur
ringt	síógjarna,spell
ringumreiggj	sílevind,vavstur
ringur	síaldutur,dygdarleysur,felag,hol,mannvándur,óskapiligur,ræðandi,sjúkur,sorgarbundin,svárur,torførur,veðurringurSamheiti:flatgjørð,gjørð,gyrði,hjólgjørð,hornheld,hornhólkur,hólkur,jarngjørð,jarnkós,klingra,knívshólkur,kós,kransur,kringla,pípuhólkur,trægjørð,tunnugjørð(hjól)eykahjól,naddahjól,reimhjól,rennil,rokkagjørð,rokkahjól,sveivhjól,tannhjól(longdarkringur)breiddarkringur,ekvator,jarðbelti,linja,middagsringur,miðkringur,miðringur,pólkringur,sjónarringur,sólarringur(rundingur)kringur,sirkul↔avbyrgdur,kring,ringrás
ringvegur	síkoyrivegur
rinka	síganga,rugga
rinkuliður	síliður
rinkusteinur	sígrót
rinnirót	síoddamaður,orsøk
rip	síduk
ripa	síberja,tveita,tøta
riparakjaftur	síavtakin
riparatindur	sínøgd,oddur
rippa	síleyslyntur persónur,toga
rippast	sígraður
ris	síhalli,sjóvarilska
risafiskur	sífiskur
risafjall	sífjall
risagleiv	sífótafet
risagrýla	síævintýrhugtak
risahøgur	síhøgur
risakelling	síævintýrhugtak
risakendur	síhøgur
risaklapp	síkávan,overva
risakona	síævintýrhugtak
risaligur	síhøgur
risamegi	símegi
risamikil	síhøgur
risaskip	sísjófar
risasterkur	sísterkur
risastórur	síhøgur
risavaksin	síhøgur
risaveldi	sístatur
risi	síavtakafólk,kraftamaður,tríalingur,ævintýrhugtak
riska	sígera aldu,rustur
riskaður	sírustur
riskur	sírustur
risla	síklóra
rispa	síklóra
rissali	sísár
rist	síristing,skiljari
rista	síførka,heysta,kuta,skriva,steikjaSamheiti:gigla,skaka,skiglafáa e-t at ristast(ristast)arbeiða,biva,darra,dilla,feftra,fjáltra,gidda,gigla,gisa,irskrast,kinka,kippast,kulsa,láta,leika,liðast,liva,nøtra,pipra,piprast,skakast,skelva,skinkla,skjálga,skjálva,spibba,sprakla,sprangla,sprella,titra,ønskrast,ørskrast,øskrafiflast, ristast, vera óstøðugur, ótryggur á hondunum;ganga kykur;gera (títtar) røringar;geva, røra seg (títt);gidda í, liva í, leika leyst í(skudda sær)hálvskjálvta,kulsa,rilka sær,skjálvta,skjálvtra,skotra sær,skulta sær,skultrast,skultra sær,skutla sær,skutra særhava fepurskjálvta, kuldaskjálvta o.fl.;hava skjálg, skjálvta, skjálvtakrop, skjálvtaríð o.fl.;skelva sum eitt bókarblað;skinkla sum gamal rossleypur;vera skeftisskotin (t.e.) standa, vera leysur í;vera skjálghentur, skjálgrutur↔danda,førka,kastast,kólna,óstúttur,rembast,risting,rugga,rørsla,viðbragd,ønskrast
ristandi	síóstúttur
ristast	síførka,rista
risthentur	síóstúttur
ristilsi	síristing
risting	Samheiti:biv,bivan,darr,darran,driftingur,fjáltur,hvepping,irskran,krepping,kyling,kylingur,nøtran,nøtrilsi,pipran,piprilsi,rist,ristilsi,rørilsi,rørsla,røring,røringur,skak,skjálg,skjálvtan,skjálvtaríð,skjálvti,skjálvtran,titran,vik(jarðskjálvti)eftirskjálvti,jarðarskjálvti,jarðrøring,landskjálvti,undirsjóvarristing↔danda,førka,óstúttur,rista,rørsla,viðbragd
ristmæltur	símæltur
riststeikja	sísteikja
rit	sískriv
rita	sífuglur,skriva
ritbera	sískriva
ritdómari	sígagnmetari
ritdómur	síatfinning,ummæli
ritfrælsi	sífrídómur
ritgerð	sískriv
rithálsutur	sílitaður
rithølsutur	sílitaður
rithøvundur	Samheiti:blaðfólk,blaðmaður,blaðskrivari,bókfrøðingur,bókskrivari,brævaskrivari,brævskrivari,evangelistur,greinskrivari,høvundur,ítróttaskrivari,søguskald,søguskrivari,tíðindaberi,tíðindafólk,tíðindamaður,tíðindaskrivari,uppskrivari↔bókaheimur,boðberi,prenta,sangur,skald,skriv,skriva,tungumál,útgáva,yrkja
ritlingur	sískriv
ritmál	sítungumál
ritmynd	símynd
ritroynd	sískriv
ritsavn	sískriv
ritskoðan	síummæli
rittin	síorðkringur
rittinorðaður	síorðkringur
ritual	sívani
ritubátur	sísjófar
rituberg	síberg
ritufella	sífella
ritufelli	sífella
ritugákan	sískríggj
ritugól	sískríggj
rituhundur	síhundur
ritupisa	sífuglur,ungi
ritureiður	síreiður
riturók	síreiður
rituræ	síbeinaræ,rakdirðil
ritusnara	sífella
ritutur	sílitaður,prikkutur
rituungi	sífuglur,ungi
ritverk	sískriv
riv	sísjóvarilska,sker
riva	síbrák,glopp,kluft,sár,seyma,skarð
rivblað	sítari
rivin	síavtoftaður,brotin,holutur
rivja	síkuta
rivja á	sígera aldu
rivjabugur	síbugur
rivna	síbrotna
rivnaður	síbrotin,holutur
rivtráður	síband
rivudalur	sídalur
rivulag	síkluft
rivumyrja	sígrót
rivutur	síbrotin
ríð	síherðindi(r),illveður,kavi
ríða	sídanda,javnviga,makast,ruggaSamheiti:sporleypa,stórleypa,tvísporafara á bak, hestbak;ríða á berbaki;ríða berbaka;ríða hesti;stíga á bak;stíga til saðildýra t.e. stíga á hestar(nar);fara, koma, ríða, vera á hestbaki, hesti;ferðast, vera á rossabaki;fara, koma, vera ríðandi;lata av sporum kenna;fara av, stíga av baki, hestbaki↔ríðing,ríðingarmaður
ríða á	síjavnviga
ríða halakukk	síbera
ríðandi	sílandvegin
ríða um snarið	síjavnviga
ríðing	Samheiti:ádeinging,reið,sporleypan,tvíspor,tvísporing,útreið↔ríða,ríðingarmaður
ríðingarbreyt	síkoyrivegur
ríðingarhestur	síross
ríðingarmaður	Samheiti:hestfólk,hestmaður,reiðmaður,riddari,riðmaður,ryttari↔ríða,ríðing
ríðingarross	síross
ríflutur	síójavnur
ríggin	síhevnisøkin,ófúsur,vreiður,ørvitisligur
ríggj	sígreði
ríggja	síbúgva út,rekavætti,seyður
ríggjast	síbúgva út
ríggjur	sílótir
ríggjuskøltur	sílúnuskøltur
ríggjutur	síhevnisøkin,ófúsur,vreiður,ørvitisligur
ríka	sístyrkja
ríkamannareið	síeydnulutur
ríkamannareiði	síeydnulutur
ríkamannareiggj	síeydnuberandi
ríkan	sísára
ríkdómur	síogn
ríki	sístatur,vald
ríkidømi	sínøgd,ogn
ríkidømiskelda	sígagn
