dapurleiki	sísorg,troystarloysi
dapurliga	sísára
dapurlyndi	sítunglyndi
dapurskygdur	síblindur,mótfallin
dapurskygni	síblindleiki,ræðsla
dardakoy	sírakfallin
dardalatur	sílatur
darl	síeftirbátur,kallskøp
darla	síførka,ganga
darr	síristing
darra	síførka,ganga,rista
darran	síristing
darrarak	sírakfallin
darrhentur	síóstúttur
darta	síførka,ganga
dartla	síførka
darva	síhindra,órógva
darvaður	Samheiti:ampaður,barnabundin,bundin,forðaður,haldsin,heftur,seinkaður,tarnaður,tyngdurhaldsin av e-m↔hindra,hindur,órógva,torførurAndheiti:fríur
darvandi	sítorførur
darvi	síhindur
darviligur	sítorførur
darvsaki	sívát klæði(r)
dassaki	sívát klæði(r)
dassaklæddur	síilla ílatin
dassaklæði(r)	síklæði(r)
dassi	síótrivavætti
dassleittur	sílitaður,veðurbardur
dassvátur	sívátur
dast	síkjør,meginpartur
dastin	síreyputur
davarsekkur	sílummi
dáastykki	síjarðarstykki
dáð	síarbeiði
dáðfýsni	sídirvi,dugnaskapur
dáðleysur	síarbeiðsleysur,mótfallin
dáðloysi	síarbeiðsloysi,mótloysi
dáðmansverk	síarbeiði
dáðríkur	síraskur
dála	síkuta
dálari	sídáli
dálaskøði	síhúð
dáli	sípeningurSamheiti:bála,dálari,epladáli,fliðra,sneið(flís)amtmansflís,biti,breyðbiti,breyðflís,breyðskálkur,drýlabiti,drýlbiti,garðaflís,hoyberaflís,kakubiti,kakuflís,køkubiti,køkuflís,ostflís,rugbreyðsflís,rugflís,skálkur,stjúkmammuflís,sumbiarflís,tvíflís,útróðrarflís
dálk	Samheiti:bláramarra,bláraruna,bláruna,blettur,evja,gólvskarn,gólvskón,gravskarn,gróma,handaskarn,handaslógv,handskarn,harkla,harklar,hárkla,hárkláða,herkla,herklar,kláða,kleppur,kníggjagull,lortur,marra,marrur,meila,móra,myrra,orr,óhumska,óhundska,óreinska,óreinskapur,presur,royða,runa,runublettur,saks,sarpa,skarn,skittur,slufs,slups,smusk,soyla,sulk,súrga,vevsaks,vevskarnevjandi royða;stinkandi evja(umhvørvisdálking)dálkan,dálking,oljudálking,óreinskan,óreinsking↔dálka,grugg,grugga,lortur,skitføri,skitin,sót
