baksast	síarbeiða
baksegl	sísegl
baksettur	sílaðin
baksetur	sísessur
baksíða	síveggur
bakskák	sístrika
bakskorða	sístívari
baksláttur	síbakbrot,duk,hindur
bakspónur	síavlop
baksreiður	síreiður
baksskuri	sífuglur
bakstoytur	síeftirfylgja
bakstudningur	síhjálp
bakstur	símatgerð,viðgerð
baksturvøra	sívøra
bakstøði	síbakgrund
baksungi	sífuglur
baksutur	sítorførur
baksvartur	sílitaður
baksvimjing	sísvimjing
baksyfta	síviðbragd
baksýni	síbakgrund
baktal	Samheiti:ámæli,bakbit,bakbíting,illmæli,illmælisorð,ilsmansboð,klaffarí,klikkur,mismæli,runublak,útspilling↔baktala,baktalari,lastaAndheiti:heiðursløn
baktala	Samheiti:ámæla,bakbíta,daffa,flyta,flytja,flytta,hunddálka,klaffa,klikkja,niðra,spilla út(bara) hava ringt at bera e-m, siga um e-n;bera e-m ilt;bera, seta ilt fyri e-n;bíta í bak;flyta fólk;hava e-n í hornatøkum, hornatølum;hava ringt orð til e-n;koma e-m í ringt orð;leggja ilt fyri e-n;siga ljót, skitin orð upp á bakið á e-m;siga, tosa e-m upp á bakið;siga, tosa ilt upp á bakið á e-m;spilla e-n út av húð og ham;tala ilt um ein avhoyrandi, onnur;tosa illa um e-n;vera illmæltur↔baktal,baktalari,lastaAndheiti:lovprísa
baktalari	Samheiti:bakbítur,bakmælismaður,birtil,illbirtari,illbirtil,illibirtil,illmælismaður,illnit,klandursvætti,skaðaklútur,skarnskjaftur,skarnsmuður,skarnstunga,skemdargestur,spilliklútur,útspillari↔baktal,baktala,lasta,óflýggjakroppur,vánafólk,vánamaðurAndheiti:hampafólk
baktanki	síendamál
baktá	sítá
baktjald	síbakgrund
baktunguljóð	síljóð
baktungur	sílaðin
bakudagur	síinnløgutíð
bakur	sífuglur
bakvegis	síóbeinleiðis
bakvegur	sísniðgøta
bakverja	sívernd
bakverji	sívernd
bakviti	síviti
bakýti	síýti
bal	síbaksan
balan	síillveður
balast	síarbeiða,beistast,búgva
balaveður	síillveður
baldra	síbeistast,gera aldu,storma
baldrutur	síaldutur,torførur,veðurringur
baldur	sífrálíkur,góðsintur,illveður,vindur
baldýra	síseyma
baldýring	síseyming
balett	sídansur,sjónleikur
balið	síveðurringur
balin	síharðbalin
ball	sísigarett,veitsluhald
balla	sídubba,heysta,hópa,krógva,møsna,roykja,tosa óskilliga
ballari	sídrankari
ballast	síhalda veitslu
balli	síposi
balling	sígloymska
ballingur	síhoyggj,posi
ballitubbak	sísigarett
ballón	síbløðra
ballsnoðin	sínakin,snøggur
ballsnøggur	sínakin,snøggur
ballur	síbóltur
ballutur	sífløktur
balsam	síkrem
balsamera	síjarða
balsamering	síjarðarferð,varðveitsla
balsamligur	síangagóður
balstýrigur	síófriðarligur
balstýrin	síófriðarligur
bana	síavlíva
banadrykkur	síeitur
banahøgg	sídeyðamein,duk
banamaður	sídrápsmaður
banasár	sídeyðamein,sár
banaskot	sídeyðamein
banasótt	sísjúka
banastingur	sídeyðamein,endi
banastund	sídeyði
banavápn	sívápn
band	sífjøtur,slintraSamheiti:bandklavi,bandsfeti,bandsklavi,boð,bregdaband,byrðarband,byrðartog,daglína,dampur,dorg,dorgargarn,dráttrarband,eftirstjóri,eplasnórur,fiskisnøri,flagglína,flotlína,hampareip,hampasnøri,handilssnøri,havlína,heftingarband,klava,klavi,kúvingalína,lissa,lína,línendi,línuendi,línukoyril,línuringur,línustubbi,roppur,røringartráður,sagarsnórur,seglgarn,seglgarnstráður,sildagarnstráður,sílutráður,skrubbulína,skrubbusnøri,snórur,snørisband,snørisnoða,snøristeymur,snørisvað,stjaki,stjóri,størband,táttur,teymasnøri,teymastykki,ullsnøri,undirstjóri(bandstubbi)avseta,avsetra,avsetur,avsetutráður,endi,fitjingarendi,karkatáttur,seglgarnsstubbi,snørisendi,snørisspotti,snørisstubbi,spotti,tampur,tógvendi,tráðendi,tráðspotti,tráðstubbi,tveinstubbi(bendil)ál,bendilsendi,reim,seil,vevlingur(festi)bakali,bakál,bakhald,biðitráður,bindi,blásingarband,boð,dreivbendil,eldband,endi,faksateymur,fatl,fetlaband,floganssnar,forsendi,frúarsnar,fyritráður,gartalabond,gartali,haft,halaband,halafetil,halareip,halsi,helsi,hjálmaband,hjálmband,homla,homluband,hosuband,hoybendil,hólgaband,hólgabendil,hundband,húðarhomluband,høvuðband,íbindi,íbinding,íbindingarband,kjaftband,kjósarband,klinkuband,klíggjaband,klokkustrongur,klyvband,klyvberaband,knapsband,knarvaband,koluband,kornbendil,kvistløga,kýsaband,langbendil,leggjarband,leiðingarband,leypsband,lissa,loðband,læraband,lærband,lærfetil,neytaband,neytahaft,neytsband,penta,posaband,replissa,rivtráður,rokaband,róðurlína,róðurslína,rúmsnar,rykkiband,rykkingarband,saðilreim,sátubendil,seingjarband,sekkjarband,seli,seyðahaft,seyðband,sigbond,sigklæði,skerðingsband,skikkjuband,skíggjaband,skóband,skólissa,skráband,snar,sokkaband,sperruband,spjaldraband,steinfatl,stertur,stimi,størbendil,tarvaband,tálgarband,teymur,tjóður,tvongur,tvørbendil,vaðfetil,varpteinur,vevlína,æsband,øsbandrúmt snar(fetil)árafetil,biðifetil,bringufetil,bróstband,bróstgerð,bróstgjørð,bróstskeri,burðarreim,búkaband,búkareim,búkfetil,búkhald,búkreim,børufetil,dyllufetil,garnstrangi,gjørð,kviðband,kviðgerð,kviðgjørð,neytafetil,saðilband,saðilgjørð,torvfetil(lykkja)ál,fetlateyggja,húðarál,húðarseil,húðarstunga,húðál,ongulsál,stunga,teinateyggja,teymabukt(miðjuband)belti,beltisband,beltisgyrði,brókaband,buksuband,buksubelti,gjørð,gyrði,gyrðil,hungursband,lundaband,slíðraband,reim,roðbuksuband,tólvtáttaband,tólvtráðaband(snøri)bast,tvein(tog)afturtog,akkerstog,akslaband,álitisband,átjangarnslína,bakkaband,bakkalína,bakkareip,bakkatog,barðlína,bátalína,bátsband,bátslína,bátstog,bulkastrongur,byrðarband,byrðartog,bjargalína,bjargatog,boð,bóglína,drag,dráttrarband,dráttrarlína,endalína,faksaband,faksareip,fjallband,fjalltog,gonguband,gongulína,grasendi,grunn,grunnlína,grunnur,herðaband,hálsaband,hoyberaband,hoyberareip,hoyberatog,hoyberingarband,hoyberingarreip,ílaband,ílatog,klava,klavi,knútaklavi,kósarband,krókalína,krókatog,landband,landlína,landtog,látralína,lesningsband,lesningsboð,lesningstáttur,lesningstog,lesningur,logglína,nátatog,nótarboð,nótarlína,oyratog,pikkfall,rakkaband,rakkalína,ravnalína,ravnslína,reiggiband,reiggingarband,reiggjuband,reip,reipsband,reipsendi,roppur,segltog,sissallína,skeytaband,skutarband,skutband,skutfesta,skutlalína,sleipari,standari,stavnaband,stavnatog,strangi,strekki,teymur,togendi,togklavi,togstubbi,togverk,tolllína,tólvgarnslína,trossi,ulltog,uppstandari,úthálari,varptog,váknalína,viðlína(tógv)bindingartógv,ellubiti,elubiti,favnur,feti,fretl,garn,garnarendi,greipingartráður,greiputráður,gøltur,gørtil,gørtur,hamborgargarn,hamborgartógv,handilstógv,heimatroyggjutógv,hosnatógv,hosnatráður,hosutógv,karðagarn,knurvali,koltursgarn,kolturstógv,kotagarn,kotatógv,letitráður,ljósagarn,loðband,lokagarn,lokkagarn,lokkatógv,niðuráleggingartráður,nótargarn,nyðrutógv,nyðrutósull,ormagarn,ormatógv,piltateinur,piltur,renning,rokkastrongur,rubbitógv,samansetingartráður,skipstroyggjutógv,skjótingarlína,skjúrtagarn,skølingstógv,snortil,snælda,snældugørtur,snældupiltur,snældusoytil,sokkatógv,soytil,spunatráður,stoppigarn,stoppingartráður,stoppitógv,stoppitráður,strøttlingur,tartl,terta,tertl,tertlingur,tertur,toggarn,togtráður,tortlingur,troyggjutógv,ullarband,ullband,ullgarn,ulltráður,uppgávugørtur,varðatráður,varðingartráður,vattatógv,vørðubandeiturhert tógv t.e. eitrandi fínt tógv;samfingið tógv;ullint garn;ullintur tráður(tráður)biktráður,bummullargarn,bummullartráður,grindastrongur,gulltráður,hekkligarn,kinatráður,knappholstráður,kolatráður,kritsnórur,letitráður,líntráður,nálstunga,náltráður,notutráður,nælingartráður,seymingartráður,seymitráður,silkitráður,silvurtráður,strongur,torvtráður,trillutráður,tvistgarn,tvistur,undirtráður,viljatráður,yvirtráður↔binda,gummiband,honk,mastrartog,noða
bandadansur	sídansur
bandalag	sífelag
bandastaki	síviður
bandaviður	síviður
bandíilsi	síbannan
bandklavi	síband
bandsfeti	síband
bandsklavi	síband
bandskoyti	sískoyti
bandstubbi	síband
bang	síduk,ljóð
banga	síberja,ljóða,smíða
bangafullur	síbangin
bangan	síljóð
bangheit	síræðsla
bangilsi	síræðsla
