úla	sífuglur
úr øskuni í eldin	síspilla fyri sær
úsaligur	sísjúkur
úss	sísjúkur
ússaliga	síógvuliga
ússaligheit	símáttloysi
ússaligur	síbíligur,dygdarleysur,fátækur,kraftleysur,sjúkur,útmøddur
út	síburtur,útum
útanding	síanding
útarbeiddur	síútmøddur
útarmaður	sífátækur
útarvi	síjarðarstykki,útlinja
útarvingi	síarvingi
útasaður	síútmøddur
útav	síógvuliga
útágerð	símatarbót
útágjørdur	síkrydda
útbanki	sílánistovnur
útberandi	síhvassur
útbering	síspjaðing
útbjóðing	sítilboð
útblástur	síhovin
útbloyttur	sílinur
útblóðgaður	síblóðigur
útboð	síhandilsskapur,vøra
útborin	síupplagdur
útbreiddur	síføvning,útrættur
útbreiðsla	síspjaðing
útbrendur	síbrunnin
útbrot	sísvullur
útbrundaður	síútmøddur
útbugaður	sírundur
útburður	síspjaðing
útbúgva	sílæra seg,upplæra
útbúgvin	sílærdur,tilbúgvin
útbúgving	sífrálæring,skúlagongd
útbúgvingarstuðul	síhjálp
útbúgvingarætlan	sískrá
útbúnaður	síamboð
útbúningur	síamboð
útbygd	síbýur
útbygging	síbygging
útbygningur	síhøli
útbýlingur	síbýur
útbýting	síbýti
útbýur	síbýur
útdálkaður	sískitin
útdeild	síluteind
útdeyður	síavlagdur,deyður
útdrag	sífjøra,streymur
útdráttur	sírák
útdyr	síinngongd
úteftir	síburtur,ikki enn
úteftirni	síikki enn
úteldur	síaldrandi
útendi	sínes
útervaður	síútmøddur
úteykaður	síútmøddur
útfari	síflóttafólk
útfarin	síburturstaddur
útferð	sítúrur
útferðarhugur	síferðahugur
útferðarloyvi	sírættindi
útferðarsálmur	sísangur
útferðarstaður	sístað
útfit	sífótur
útfjarað	sífjøra
útflái	síhalli
útflentur	síspottaður
útflógv	síveggur
útflutningsbann	síforboð
útflutningsgjald	síavgjald
útflutningshandil	síhandilsskapur
útflutningshavn	sífjørður
útflutningsloyvi	sírættindi
útflutningsprísur	síprísur
útflutningsváttan	síváttan
útflutningsvirði	sídygd
útflutningsvøra	sívøra
útflutningur	síhandilsskapur
útflúrur	sísker
útflytari	síkeypmaður
útflyting	síflyting,handilsskapur
útflýggjari	síkeypmaður
útfornur	síaldrandi
útfrá	síburtur
útfyllingarblað	síoyðublað
útfyrntur	síaldrandi
útførsil	símálnýtsla
útførsla	síhandilsskapur,málnýtsla
útføttur	○sum traðkar úteftir(vera útføttur)fransastíga útá, úteftir;traðka lukkuna til sín t.e. traðka meira uttanfóta(r);traðka úteftir;vera skeivføttur↔beintur,falla,ganga,hjólbeintur,kálvakníggjaður,óstúttur,snáva,vinglanAndheiti:innføttur
útgangsbøn	síbønarhald
útgangur	síendi
útgarður	símark
útgataður	síholutur
útgáva	Samheiti:árgangur,bókaútgáva,frímerkjaútgáva,frumútgáva,fyrstaútgáva,heildarútgáva,kvæðaútgáva,minnisútgáva,skreytútgáva,upplagfyrsta útgáva↔bókaheimur,prenta,rithøvundur,skriv
útgávuár	sítíðarfesting
útgávudagur	sítíðarfesting
útgávuverdur	síhóskiligur
útgerð	síamboð,fyrireiking,reiðarí
