samangifta	síhjúnalag
samangingin	síharður,niðurdottin,samankomin
samangivin	sígiftast
samangreipaðir	sípara,samansjóðaðir
samangrógvin	síniðurdottin,samankomin
samanhald	síblídni
samanhangandi	síharður,kleiggjuturSamheiti:framhaldandi,heilur,høpin,óbrotin,óslitin,samfastur,samfeldur,samfullur,samheilurá rað;ein fyri og annar eftir;hvør aftan á annan;hvør eftir, um annan;hvør í hølunum á øðrum;hvør undan øðrum;hvør øðrum næstur;høvd í høvd, kropp á kropp, maður á mann;í eitt koyr;í heild, hópi;maður aftan á mann;upp í slag;uttan hvíld, íhald, slit, steðg o.fl.;út í eitt;□har er eingin steðgur á, í, ímillum;nú leikar títt á;tað er ikki eygsmæli, eysmæli á;tað er sum at syfta seið;tað gongur út í eitt;tað helmar, slítur ikki í;tað hongur saman;tað slitnar, slítur ikki sundur;tað steðgar ikki á, ímillum(samhoyrandi)sum hoyrir saman↔avtakin,fullkomin,nógvur,rása,samankomin
samanhektaðir	sísamansjóðaðir
samanhektaður	sísamankomin
samanhokin	síframyvirboygdur
samankasting	sísamanlegging
samanknoðaður	sísamankomin
samankomin	Samheiti:áfastur,samangrógvin,samanskotin,samanvaksin,samgrógvin,samrunnin,samvaksin,samvallaðurvaksin saman við...(fløgugingin)fløgurunnin,løgugingin,niðurfallin,niðurgingin,niðursigin,samansokkin,samanstúgvaður(samanstúgvaður)rúgvismikil,rúgvumikil,samanfokin,samankomin,samankroystur,samanrikin,samansavnaður,samanstúvaður,samantrunkaður,samantyrptur,tjukkur,tjúkkur,tættur,upprúgvaðurí rúgvutali, rúgvuvís;so tætt sum karðatindar;stúgvandi fult av...;sum liggur, situr, stendur tætt saman;□tað er sum at líta í ein riparakjaft;tað er sum maðkar í røstum tara, sum seiður í nót, sum seyður í rætt;tað stendur, tey standa sum gólvtorv, sum sild í tunnu (fólkini);tað var sum á riparanum(samanballaður)samanknoðaður,samanlagdur,samanrullaður(samanlatin)samanbundin,samanhektaður,samanlæstur(krympaður)minkaður,innkrympaður,samandrigin,samangingin,samankrympaður,samanrunnin,samantøvdur,skropnaður,tódnaðurrunnin saman í eitt;tódnaður upp í bøkk↔innfallin,niðurdottin,nógvur,rukkutur,samanhangandi
samankoming	sífundur,hjúnalag,skoyti
samankronglaður	sírukkutur
samankropin	síframyvirboygdur
samankropnaður	síframyvirboygdur
samankroystur	sísamankomin
samankrympaður	sírukkutur,samankomin
samankurlaður	sífløktur
samankúlaður	síframyvirboygdur
samanlagdur	sífleirfaldur,samankomin
samanlagt	sítilsaman(s)
samanlatin	sísamankomin
samanlegging	síútrokningSamheiti:miðsavning,nærkan,samankasting,samanrenning,samanseting,samanskot,sambinding,sameining,samgonga,samløga,samruni,samseting,samskot,savning↔felag,felagsskapur,samansjóðaðir,samdur,sameina,semjast
samanlop	sítrokan
samanlæstur	sísamankomin
samanløga	sífelag,felagsskapur
samanpentaður	síósannur
samanrenning	síbúkilska,samanlegging
samanrikin	síførligur,samankomin
samanringaður	sírundur
samanringdur	sírundur
samanrukkaður	sírukkutur
samanrullaður	sísamankomin
samanrunnin	síbatnaður,samankomin
samanryktur	sírukkutur
samansavnaður	sísamankomin
samanseting	sísamanlegging
samansetingartráður	síband
samansettur	sífløktur
samansigin	síniðurdottin
samansjóðaðir	Samheiti:samangreipaðir,samanhektaðir,samansvornir,samantvinnaðir,sameindirsum eitt antarpar;sum hálmur og aks;sum høkil og herðablað;sum krókur og lykkja;sum lív og ein sál;sum tvinnaður tráður;□har, tað rennur ikki vatn ímillum (teirra);hasi ganga sum ein køkja;teir eru altíð í fylgi, í parti, fylgjast altíð;teir eru bestu vinfólk, vinir, vinkonur, vinmenn;teir eru, hanga altíð saman;teir eru ikki til at skilja sundur, eru sera væl;teir eru sum tvinnaðir saman;teir eru væl við hvønn annan, kunna væl saman;tey eru sum stúka(n) og rekkjuváð(in);tær eru sum tvær køkingargimbrar↔felag,felagslimur,felagsskapur,fríggja,granni,par,para,samanlegging,samdur,sameina,semjast,umgangast,vinur
samansjóðaður	sísamansjóðaðir
samansjunkaður	síniðurdottin
samansjúnkaður	síniðurdottin
samanskot	sísamanlegging
samanskotin	sísamankomin
