gamanslyndi	síbjartskygni
gamanstáttur	sísangur
gamlaketa	sídansur
gamlamannadansur	sídansur
gamlamannamál	sírødd
gamlamannamøsn	símøsn
gamlamannarødd	sírødd
gamlaseyðadeyði	sídeyði
gamlaseyður	síseyður
gamli	sífyrrverandi
gammur	síslitmaður
gampur	síross
ganda	Samheiti:fjøtra,gandbinda,gykla,hama,heltaka,mana,mána,rúna,rúnabinda,røra,trøllbinda,trølltaka,villabinda, festa, fjøtra við gandi;fara, fremja við gandi;fjara uppi;fremja gand, gandagerð;ganda fram aftur;ganga í kirkjugarð;gera eftir;gera seg ókenniligan, ósjónligan;geva, stinga e-m svøvntoll;grøða við gandaráðum;gykla um;kasta fjetur, fjøtur á, fyri (e-t);kasta hvørvi, hvørvisjón, hvørvsjón, hvørvu yvir seg;kasta rúnir á (e-t);kasta svøvntoll á e-n;leggja niður;leggja niður sjógv;lesa burtur (sjúku);lesa (uppi) yvir (e-m);mana fram, niður, upp;rista gand, illgerningar, rúnir;royna gandakunstir;røra (t.e.) gera gandakunstir;senda gand;umskapa við gandi(duga gand)duga,kunnaduga fram um nøsina;duga meira enn at mata seg;hava ill, ring eygu(r);ikki vera eintevin, eintølin;ikki vera heilt sørur;kunna gand;vera fjølkunnugur, fleirtølin;vera kønur, ramur, sterkur í gandi(gandaður)álagdur,forgjørdur,gandbundin,gyklaður,rúnabundingyklaður um;umskaptur við gandi;□hetta er heilt forgjørt;trøllkonur eru á e-m;um tað var forgjørt, gandað so var tað ikki...↔gandakallur,gandur,spáa,spádómur,spámaður
gandabók	síeydnulutur,gandur
gandabragd	sígandur
gandabøn	sígandur
gandaður	síganda
gandagerð	sígandur
gandagripur	síeydnulutur
gandahít	sígandakallur,ævintýrhugtak
gandakallur	síundirhaldari,ævintýrhugtakSamheiti:gandahít,gandakelling,gandakona,gandamaður,trøllmaður↔eydnulutur,ganda,gandur,spáa,spádómur,spámaður
gandakelling	sígandakallur,ævintýrhugtak
gandaknútur	síknútur
gandakona	sígandakallur,ævintýrhugtak
gandakraft	sígandur
gandakunstur	sígandur
gandakynstur	sígandur
gandamaður	sígandakallur,ævintýrhugtak
gandamáttur	sígandur
gandaorð	síeydnulutur,gandur
gandaráð	sígandur
gandasteinur	síeydnulutur,gandur
gandaørindi	síeydnulutur,gandur
gandbinda	síganda
gandbundin	síganda
gandkvæði	síeydnulutur,gandur
gandleikari	síundirhaldari
gandur	Samheiti:eftirgerð,fjølkunna,galdur,gandagerð,gykling,illgerð,illgerning,illgerningur,kunstur,rúnagandur,rúnaveldi,rúnaverk,rúnir,sending,trølldómur,trøllskapur,villingramar illgerningar;tann beri, rami, rámi, reini, turri gandur;tann rami rúnagandur(gandakynstur)gandabragd,gandakraft,gandakunstur,gandamáttur,rúnalist(gandaráð)gandabók,gandabøn,gandaorð,gandasteinur,gandaørindi,gandkvæði↔eydnulutur,ganda,gandakallur,spáa,spádómur,spámaður
