eftirlit	Samheiti:ansur,arbeiðseftirlit,bankaeftirlit,eftiransan,eftiransing,eftiransur,eftirkannan,eftirkanning,eftirskoðan,filmseftirlit,góðskueftirlit,hálvaseta,innaneftirlit,prísansing,príseftiransing,príseftirlit,skipaeftirlit,summarseta,tilsjón,tolleftirlit,trygdareftirlit,umsjón,yvirumsjónalment eftirlit(innlit)innsýni↔ansni,eftiransin,fyribyrging,passa,røkiskapur,røkt,vaktarhald,vaktari,verja,verja annan,verja seg
eftirlitaður	sídæmdur
eftirliting	sílitevni
eftirlitsmaður	sívaktari
eftirlitur	sílitevni,littóni
eftirlíka	Samheiti:akta,avsigast,bønhoyra,góðtaka,hoyra,játta,lurta,lýða,samtykkja,siga ja,slaka,virðaakta, lýða boð;boyggja seg;dúva undir;eftirlíka e-m;finna seg í;fylga ráðum, boðum;ganga undir e-t;ganga undir treytir;gera eftir boðum, vild, ynski;gera e-m til fylgnis, lags, vildar;gera sum e-m er sagt, sum e-r er biðin, sum sagt er;gera sum hini (gera, siga, ynskja);gera tað annar vil;gera tað sum ein er biðin (um);geva eftir;geva e-m eftirlæti;geva seg undir (treytir);geva, sláa seg til tols við;hava undirlutakenslu;hokka eftir;ikki mótmæla, ikki muta ímóti, ikki svara til;laga seg eftir;lata e-m e-t til vilgøði;lata e-t um seg ganga;lata seg lokka, yvirtala;lata sær eftirlíka;lata sær e-t eftirlíka, lynda, siga;lata sær lynda;lata um seg ganga;látast sum einki;lurta eftir;rætta seg eftir e-m;siga ja;siga ja og amen;smyrja seg við e-t;spilla e-n við eftirlæti;svølgja e-t;sætta seg, sættast við e-t;taka eftir ráðum eins;taka e-t;taka til takkar við;taka við kostum;tiga og samtykkja;tiga og tola;tiga til;vera e-m til vildar;vera hoyriligur, lýðin, undirbrotligur o.fl.;viðurkenna at...(taka av)siga ja (til e-t);smekka til;taka av tilboði;taka við kostum, tilboði↔eftirlæti,forkela,jabróðir,játtan,játtandi,lítillátin,lova,prógva,støðuveikur,villigur,vingliskølturAndheiti:mótmæla,nokta
eftirlíking	síeftirlæti
eftirlíkning	síálíkning
eftirljóð	síafturljóð
eftirlótir	síeftirlæti
eftirlútur	sívaskiløgur
eftirlýsing	síboðan
eftirlæti	Samheiti:eftirlátinskapur,eftirlíking,eftirlótir↔eftirlíka,forkela,lítillátinAndheiti:strangleiki
eftirløn	sígjald
eftirlønaraldur	síellisár
eftirlønargrunnur	sígrunnur
eftirlønartrygging	sítrygging
eftirløntur	síløntur
eftirmaður	sískyldfólk,varamaður
eftirmeta	síkanna
eftirmeting	síummæli
eftirmóður	síútmøddur
eftirmynd	síeftirgerð
eftirmæli	síámæli,ískoyti
eftirnavn	sínavn
eftirprent	síárit,eftirgerð
eftirráð	síleiðbeining
eftirráðin	síeftirsnarur
eftirrák	síeftirfylgja
eftirrit	síavrit
eftirrættur	símatur
eftirseturenta	sígjald
eftirsitandi	síavvarðandi
eftirsíðan	síikki enn,síðani
eftirsíðani	síikki enn,síðani
eftirsíður	síikki enn,síðani
eftirsíggin	Samheiti:drýggjaligur,fornur,fyribirgin,goymin,kravlítil,neyvur,nøgdsamur,pjøkin,røkin,røkjutur,smátøkin,sparin,sparingarsamur,sparsamur,tilsíggin,toyggin,umhygginnøgdur við lítið;røkin og pjøkin;○sum dugir væl at eiga inni, goyma (til verri tíðir);sum fer væl um;sum ikki nennir at brúka, nýta;sum ætlar (ov) lítið til;□hann dugir væl at fáa endarnar at røkka saman, halda hús, húsast;hann er nøgdur við lítið, etur seg ikki undan nagli;hann er so fornur;hann letur ikki tað síðsta↔afturhald,búskapur,drúgvur,drýggja,halda hús,húsligur,røkiskapur,sparing,trivamaður,nærlagdur,vandaliga,varandiAndheiti:oyðslutur,órøkjutur
eftirsjón	símissur
eftirsjúka	síeftirfylgja
eftirskettin	síeftiransin
eftirskjálvti	síristing
eftirskoðan	síeftirlit
eftirskoyti	síískoyti
eftirskrift	síískoyti
eftirskúli	sískúli
eftirsløð	síavlop
eftirsnarin	síeftirsnarur
eftirsnarur	Samheiti:eftirráðin,eftirsnarinklókur aftaná;○sum veit alt aftaná(beturvitin)
eftirsnúður	sísnúður
eftirspenna	síbinda,rætta
eftirspentur	síkannaður
eftirspurdur	síeftirynskjandi
eftirspurn	Samheiti:eftirspurningur,gravgangur,keypsáhugi,keypshugur,rovgangur□fleiri hava sýnt áhuga;fólk standa, stendur í røð at...;hann fekk kobbabýti;har, tað eru fleiri, mangir, nógvir um boðið;har verður lítið í part;har vóru ravnar um soðið;hatta er nógv eftirspurt, umbiðið;hatta verður smábýtt;tað er gravgangur, eftirspurningur eftir...;tað eru fleiri hundar um beinið;tað eru fleiri kettur um fiskin, trogið;tað eru mangir, nógvir murtar um agnið;teir vóru sum ravnar á deyðseyða, deyðseyði↔áhugaður,áhugaverdur,áhugi,eftirynskjandi,trá
eftirspurningur	síeftirspurn
eftirspæl	síeftirfylgja
eftirstjóri	síband
eftirstøða	síavlop,eftirfylgja,skuld
eftirstøðutorv	síbrenni
eftirtína	sískilja
eftirtorv	síbrenni
eftirtorva	síbrenni
eftirtøka	síeftirgerð,yvirskot
eftirútbúgving	sískúlagongd
eftirútrokning	síútrokning
eftirvatn	sívatn
eftirverkir	síeftirfylgja,pína
eftirviðgera	sírætta
eftirviðgerð	síviðgerð
eftirynskjandi	Samheiti:eyðseldur,ynskjandivæl dámdur;○sum ynskjandi er eftir(eftirspurdur)umbiðin↔áhugaður,áhugaverdur,áhugi,eftirspurn,trá
eftiryrking	sísangur
eftiryrkjari	sískald
eftna	sídimma,líða
eg	Samheiti:hesinhenda, hetta gamla;hesin gamli(undirritaður)undirskrivaður↔áðurnevndur,nakar,sjálvur,tú
egg	síútlinjaSamheiti:bjargaegg,bleytegg,brák,brákegg,hagaegg,krypilsegg,neyðaregg,páskaregg,pínegg,píningur,reiðregg,rúðregg,skellegg(eggkykna)eggbølla,eggbøllur,eggvølur(rogn)eygarogn,eygnarogn,gýting,gýtingarrogn,leggingaregg,linarogn,rognaboppa,rognabrók,rognabuppa,rognabyggkorn,rognakorn,rognkorn,sjórogn(lættisoppur)marsoppur(skøtuegg)vitunýrapungur(nitra)
eggbølla	síegg
eggbøllur	síegg
eggfuglur	sífuglur
egghvassur	síhvassur
eggja	síbrýna,elva,styrkja
eggjagrót	sígrót
eggjajarn	síknívur
eggjakalvi	sífiskur
eggjakassi	síkassi
eggjakoppur	síyvirflati
eggjamatur	símatur
eggjamettur	sídrukkin,mettur
eggjan	sííblástur
eggjandi	símennandi
eggjaprilla	síposi
eggjarjarn	síknívur
eggjarmaður	síveiðimaður
eggjarn	síknívur
eggjaroð	síposi
eggjarskalvur	síkavi
eggjarskítur	sísjófar
eggjartrepi	síútlinja
eggjartrom	síútlinja
eggjarær	síseyður
eggjaskal	síyvirflati
eggjast	sínørast
eggjasteinur	sígrót
eggjateinur	síknívur
eggklingra	síbugur
eggklingrutur	síavlangur,rundur
eggkykna	síegg
eggleysur	síóhvassur
eggmettur	sídrukkin,mettur
eggrassur	sífuglur
eggriva	síbrák
eggrundur	síavlangur
eggslitin	síóhvassur
eggvaksin	síavlangur,rundur
eggvákn	síknívur
eggvølur	síegg
egi	sígróðurnál,jarðarstykki
egin	síóvanligur,sjálvur
egináhugamál	síáhugi
eginfígging	sífígging
egingirnd	sísjálvgóðska
egingóðska	sísjálvgóðska
eginkona	síkvinna
eginkærleiki	sísjálvgóðska
eginleiki	síeyðkenni,sinnalag
eginligur	sísannur
eginlív	sígerandislív
eginmerki	síeyðkenni
eginnýtsla	sínýtsla
eginogn	síogn
eginpeningur	sípeningur
eginsinnaður	síharðhjartaður,ófúsur,óvanligur
eginskapur	síeyðkenni,sinnalag
eginumstøður	sílíkindi(r)
eginvild	sífrídómur
eginvilji	sífrídómur
eginvív	síkvinna
eglalív	síhampafólk
egna	sígeva,lokka,mata,mutur;egna eina setu;egna fyri kalva o.fl.;egna húk, línu, stamp o.fl.;egna seg;egna sær húkarnar;koyra, krøkja beitu á;krøkja agn, foragn á(egna av)krøkja, taka agn av;reinsa línu (í sjónum)↔agn,agnloysi,avegndur
egningarfløkja	sífløkja,vavstur
egningarskúr	síbygningur
egningarskúrur	síbygningur
egriða	sífiskur
egriði	sífiskur
ei	síikki
eiðabarur	sídygdarleysur,fátækur,kraftleysur,sørur,tápuligur
eiðadyggur	sídygdarleysur,fátækur,kraftleysur,sørur,tápuligur
eiðargerð	sílyfti
eiðasørur	sídygdarleysur,fátækur,kraftleysur,sørur,tápuligur
eiðfastur	sítrúgvur
eiðfesta	sígeva,lova,prógva
eiðisbakki	síbakki
eiðiskyrra	sígóðveður
eiðsvorin	síótøkur
eiður	síillbøn,lyfti
