øða	síarga,storma
ørvitisfiskur	síbýttlingur,hvalur
ørvitiskleppur	síbýttlingur
ørvitisknokkur	síbýttlingur
ørvitisliga	síóskilaliga
ørvitisligur	Samheiti:avlagaður,dagavillur,forstýraður,forstýrisligur,heilagalin,heilasprongdur,heilavillur,høvuðlættur,kjarrgalin,klikkaður,løgin,ríggin,ríggjutur,skilaleysur,ørin,ørvitigur,ørvitugurfarin av nálini;hálvørur í høvdinum;heilt burturfrá, um at flúgva av vitinum;heilt úti at koyra;í barndømi, ørviti;stein í ørviti, sum eitt reivabarn;□hann hevur etið bláseym, seym;hann hevur fret undir kaskettini, mold, saguspønir millum oyruni, rottur á loftinum;hann hevur ikki dropan av viti, ikki gonguvit;hann hevur mist bæði daga- og staðarskil;hann hevur mist dagaskilið, samlingina, skilið, tímaskilið, vitið o.fl.;hann melur á kúluni, tað melur fyri honum;hann veit hvørki út ella inn, ikki dagaskil;har man ikki alt rugga rætt;har man klikkja í óvastu hædd;trøllrið eru á e-m↔óvanligur,snarsintur,svakur,tápuligur,vreiði,vreiður,ørskapur,ørvitisskapur
ørvitisskalli	síbýttlingur
ørvitisskapur	Samheiti:barndømi,heilavilla,húsavilla,lyndisbrek,ófullføri,sansaloysi,sálarsjúka,sinnisbrek,sinnissjúka,sjálvvilling,svakleiki,trøllrið,villa,villing,vitloysi,ørska,ørskapur,ørviti,ørvitriandligt ólag(skaplyndisbrek)murubrek(sálarfløkja)duld↔dølskur,klandursvætti,óskilaliga,óvit,sjúklingur,svakur,vreiði,vreiður,snarsintur,ørkymlast,ørskapur,ørvitisligur
ørvitisskøltur	síbýttlingur
ørvitistos	símøsn
ørvitistvætl	símøsn
ørvitri	síørvitisskapur
ørvitugur	síørvitisligur
øs	síhálsur
øsa	síarga
øsablóð	síblóð
øsandi	síargingarsamur
øsast	síilskast
øsband	síband
øshvítur	sílitaður
øsi	síhálsur
øsihvítur	sílitaður
øsing	síarging,íblástur,levind,vreiði
øsingarmaður	síóflýggjakroppur
øsishvítur	sílitaður
øsisligur	síóskapiligur
øska	Samheiti:flogøska,gosdust,gosøska,roytingarøska,sigarettøska,sigarøska,torvøska,tubbaksøska,útrak,øskubøkil,øskudungi,øskusáta,øskutøð(ilska)ilskubøkil,ilskurúgva,skellaóreinska (úr koli, málmi o.fl.)↔avlop
øskra	sírista
øskubytta	síspann
øskubøkil	síøska
øskudagur	síillveður,vánatíð
øskudólgur	síletingi,seyður
øskudrongur	síletingi
øskudungi	síøska
øskufísa	síletingi
øskufísur	síletingi,ævintýrhugtak
øskufjøður	síafturpartur
øskufoysa	síótrivavætti
øskufressur	síinnimaður
øskuhirðil	síletingi
øskuhurð	sílok
øskukalt	síbrunnin
øskukrás	símatur
øskulittur	sílitaður
øskulitur	sílittóni
øskumysing	sístreymur
øskurák	sístreymur
øskurok	sírokilsi
øskusáta	síøska
øskusmakkur	sísmakkur
