lampa	Samheiti:afturljós,afturlykt,akkersljós,altarljós,an,anari,aningur,bakborðsljós,bakkiljós,bakljós,baklykt,báknljós,billykt,blits,blunkljós,bogalampa,borðlampa,bremsiljós,dási,dellaglas,dellur,ferðsluljós,fjarljós,fløtljós,framljós,framlykt,føroysk lykt,gasslykt,gløðilampa,grindalykt,gøtuljós,gøtulykt,halakola,handlykt,heingilampa,hekkuljós,hím,jomfrú,jólaljós,karbidlampa,karbidlykt,kerta,kerti,kertiljós,kertistubbi,kertuljós,kertustubbi,kola,kongaljós,kópalog,kyndil,køkslampa,langljós,lanterna,látraljós,láturljós,leitingarljós,lendingarljós,lesilampa,ljós,ljósastubbi,ljósføri,ljósgevi,ljósgøgn,ljóskastari,ljóspera,loftljós,lummalykt,lykt,lýsikola,lýsilampa,magalykt,náttlampa,nærljós,oljuglas,oljulampa,pera,petroliumslampa,prásapinnur,prási,prikka,primuslykt,ravmagnspera,seiðalykt,siglingarljós,síðuljós,skipsljós,songarlampa,standilampa,stavlykt,stearinljós,steinkola,stina,stýriborðsljós,støðuljós,tálgarljós,tálgarlykt,tokuljós,tokulykt,topplanterna,toppljós,trælykt,undirkola,undirljós,útiljós,útilykt,útipera,vaksljós,vatnkattur,vatnljós,voksljós↔ljósglæma
lampuglas	sívernd
lampuljós	síljósglæma
lampulogi	síeldur
lampuosi	síroykur
lampuskermur	sívernd
lampuskíggi	sívernd
lampuslím	síroykur
lampuveikur	Samheiti:veikur(rak)grasveikur,hagaveikur,kertiskar,kolurak,koluskar,koluveikur,ljósarak,skar
lamsa	síberja
lamskerja	sískaða
lamskjóta	sískaða
lamskotin	síbrekaður
lamsláa	sískaða
lamsligin	síbrekaður
land	síjarðarstykki,statur,strond,vatn
landa	sílossa
landaður	sílossa
landafundur	sífundur
landaklovi	síinngongd
landakyrra	sígóðveður
landaljóst	síljósglæma
landamark	símark
landaplága	síargapetti,sangur,tónalag
landaskomm	síeyðmýking
landastrok	sírekavætti
landasvik	sísvik
landasvíkjari	sísvikari
landavegur	síkoyrivegur
landaverja	sívernd
landband	síband
landbløðra	síbløðra
landbrim	sísjóvarilska
landbrot	síbakbrot
landbróðir	sígranni
landbrunnur	sígoymsla
landbukkudukka	síundirpissur
landbúnaðarháskúli	sískúli
landbúnaðarlóg	sílóg
landbúnaðarmaður	síjarðyrkismaður
landbúnaðarmál	síjarðarbrúk
landbúnaðarskúli	sískúli
landbúnaðarstevna	sífundur
landbúnaður	síjarðarbrúk
landdýr	sídjór
landfarsjúka	sísjúka
landfarsótt	sísjúka
landfiskur	sífiskur,rakdirðil
landfiti	sífitievni
landfløska	sífløska
landfólk	síjarðyrkismaður
landgjálvur	síbakbrot
landgongubrúgv	síbrúgv
landgonguherur	síherlið
landgrunnur	síbotnur
landgrunshelling	síhalli
landherur	síherlið
landhús	síbygningur
landhøgg	síbakbrot
landi	sígranni
landing	sílossing
landingarbann	síforboð
landísur	síkavi
landjagg	sísjóvarilska
landkar	síkassi
landketa	síketa
landkoma	síkoming
landkort	síatlas
landkostir	sígagn
landkovi	síhøli
landkrabbi	Samheiti:grashani,heimakona,heimakráka,heimakúgv,landkráka,pennasleikjari,sjóleiða,stakittpissari,vatnkrákasum aldri, ikki hevur pissað í saltan sjógv, saltvatn;sum ongantíð hevur verið til sjós, skips, uttan fyri landoddarnar↔heimatíð,innimaður,inniløgaAndheiti:sjómaður
landkráka	sílandkrabbi
landkrókur	sívinkul
landkyrra	sígóðveður
landleið	sífiskileið
landleypur	síkassi
landlína	síband
landloyvi	sífrítíð,rættindi
landmina	síbumba
landnámsbygd	síbýur
landnyrðingsódn	síillveður
landnyrðingspíningur	síillveður
landnyrðingur	síættir
landnyrðingur eystan	síættir
landnyrðingur norðan	síættir
landoddi	símark,nes
landparta	síálíkna
landpartur	sípartur
landrák	sístreymur
landrenning	sífiskatorva
landroykur	síluktur
landsbók	síyvirlit
landsbókasavn	sígoymsla
landsbókavørður	sívaktari
landsbróðir	sígranni
landsbygd	síbýur
landsdystur	síkapping
landsendi	sínes,statur
landsfelag	sífelag
landsfelagsskapur	sífelag
landsfólk	sííbúgvi
landsfundur	sífundur
landsfyrisiting	sívald
landsgagn	sígagn
landsgagnligur	síhóskiligur
landshandil	sísølubúð
landshúshald	síbúskapur
landskapping	síkapping
landskappingardystur	síkapping
landskassi	sípeningur
landskjálvti	síristing
landskjøldur	síbakbrot
landskránur	sífiskur,rakdirðil
landskuld	síútreiðsla
landskyld	síútreiðsla
landslag	sístað
landslagsmálningur	símynd
landslagsmynd	símynd
landsláttur	síbakbrot
landsleið	sístrond
landslið	símanning
landslóg	sílóg
landslunnindi	sígagn
landslutur	sístatur
landsmaður	sígranni
landsmál	sítungumál
landsnavn	sínavn
landsnevnd	sívald
landsogn	síogn
landspartur	sístatur
landsrættur	sívald
landssjúkrahús	síbygningur
landsskaðiligur	sítorførur
landsskattur	síavgjald
landsskjalasavn	sígoymsla
landsskjalavørður	sívaktari
landsskrivstova	síbygningur
landsskúlafyrisiting	sívald
landsskúlaráð	sívald
landsstjórn	sívald
landsstrok	sírekavætti
landsstýri	sívald
landsstýrisfundur	sífundur
landsstýrissamgonga	sífelag
landssvik	sísvik
landssvíkjari	sísvikari
landssøga	sífrásøgn
landstampur	síkassi
landsting	sívald
landstrát	sífiskileið
landstreymur	sístreymur
landsuðurslega	síhvíld
landsvegur	síkoyrivegur
landsynningsgøla	síillveður
landsynningshæsingur	sívindur
landsynningsódn	síillveður
landsynningstømingur	sívindur
landsynningur	síættir
landsynningur eystan	síættir
landsynningur sunnan	síættir
landtjald	síbústaður
landtog	síband
landtorri	sífiskur
landtunna	síkassi
landveður	síveðurlag
landveðurlag	síveðurlag
landvegin	Samheiti:akandi,gangandi,koyrandi,ríðandi,yvir landá hestbaki, súkklu o.fl.;eftir landi, landjørðini;eftir vegnum o.fl.;í, við bili, bussi, toki o.fl.;til gongu(sjóvegin)rekandi,rógvandi,siglandi,sjóleiðis,sjóvegiseftir sjónum;við báti, skipi o.fl.(loftvegin)flúgvandi,fúkandi,loftvegis,vindboringjøgnum luftina;uttan úr rúmdini;úr luftini;við flogfari, tyrlu o.fl.↔ferðaleið,ferðast
landvættur	síævintýrhugtak
landøki	sístað
landørn	sífuglur
langa	síberja,tráa
langabbabarn	sískyldfólk
langabbabeiggi	sískyldfólk
langabbadóttir	sískyldfólk
langabbasonur	sískyldfólk
langabbasystir	sískyldfólk
langabbi	sískyldfólk
langafríggjadagsbarn	síbarn
langakista	síhav
langaklúkur	síhoyggj
langan	síróliga
langasporl	sífiskur
langatong	sífingur
langavi	sískyldfólk
langbeintur	síbeintur
langbindi	sígrót
langbonkur	sísessur
langbummari	sísjófar
langbylgja	síbylgjulongd
langdrigin	síkeðiligur,leingi,seinpjakutur
langeldur	síeldur
langfarabátur	sísjófar
langfarafiskimaður	sísjómaður
langfarafiskiskapur	sífiskiskapur
langfarafólk	síferðafólk
langfaragestur	sígestur
langfarahagamaður	sívaktari
langfarahagi	síjarðarstykki
langfaraleið	sífiskileið
langfaramaður	síferðafólk
langfararóður	síróður,túrur
langfarasigling	sísigling,túrur
langfaraskip	sísjófar
langferð	sítúrur
langferðabátur	sísjófar
langferðamaður	síferðafólk
langfreistaður	sítíðaravmarkaður
langgarður	sígarður
langhaki	síkrøkjari
langhala	síneyt
langhali	síneyt
langhús	síhøli
langhyrntur	síhyrntur
langhøla	síneyt
langkloyvdur	síbeintur
langklúkur	síhoyggj
langlangabbi	sískyldfólk
langlangomma	sískyldfólk
langleggjaður	síbeintur
langleittur	sílangvaksin,skarpleittur
langligur	síavlangur,einsljóðandi,keðiligur,langvaksin,leingi
langlívaður	síaldrandi
langljós	sílampa
langlop	sílop
langmintur	síhevnisøkin
langmotta	síteppi
langmóð	sítol
langmóðigur	sítolin
langomma	sískyldfólk
langommubarn	sískyldfólk
langommubeiggi	sískyldfólk
langommudóttir	sískyldfólk
langommusonur	sískyldfólk
langommusystir	sískyldfólk
langreis	sítúrur
langríggin	síhevnisøkin,keðiligur
langrøkin	síhevnisøkin,keðiligur,leingi,seinpjakutur
langrøkjutur	síhevnisøkin,keðiligur,seinpjakutur
langsamur	síkeðiligur,seinpjakutur
langsintur	síhevnisøkin
langsíða	síveggur
langskip	sísjófar
langskot	sísparka
langskoyti	sískoyti
langskygdur	síblindur,eftiransin
langskygni	síblindleiki
langstøðun	síseinpjakutur
langsýntur	síblindur
langsøga	sífrásøgn
langta	sítráa
langtan	sítrá
langtandi	síhugspentur,øvundsjúkur
langtoygdur	sílangvaksin
langur	síhøgur,leingi,síðurSamheiti:alinlangur,alnalangur,alnarlangur,ovurlangur,stikkulangur,teigalangur,tummalangurlangt sum spósnev;til longdar sum...↔høgur,langvaksin,mikil,síðurAndheiti:smáur
langvaksin	síhøgurSamheiti:langleittur,langligur,langtoygdur,loftskotin,skoppuvisin,skoputur,slurutur,slurvutur,slúrutur,sløkjutur,súlutur,súluvaksinlangur og klænur;langur og mjáur;runnin, vaksin upp í slokk;sum ein innanúrtikin skarvur;sum skarvur;tunnur sum sýruslokkur↔høgur,langur,mikil,úrklænurAndheiti:førligur
langveggur	síveggur
langvist	síbústaður
lansi	síknívur
lanterna	sílampa
laparsligur	sídygdarleysur
lappa	sífleyga,ganga,leypa,stikla steinar
lappari	sísjófar
lappi	síklútur,lepi
lapur	síhindur
larma	síbeistast,ljóða,skríggja
larmandi	síljóðmikil,ófriðarligur,ósmidliga
larmur	sílevind,ljóð
larmutur	síófriðarligur
larpasligur	sídygdarleysur
larra	síflúgva,førka,leka,sigla
larrassi	sífuglur
lasa	sísjúklast
lasafar	síkloddakot,ótrivavætti,vánamaður
lasafarin	sídygdarleysur
lasafyl	síkloddakot,ótrivavætti
lasaleypur	síkassi,kloddakot
lasaligur	sídygdarleysur,illa ílatin
lasasligur	sídygdarleysur,illa ílatin
laska	sítøta
laski	sílepi
lasmansligur	sídygdarleysur
laspasligur	sídygdarleysur
lass	síbyrði,tyssi
lassa	síflyta
lassakrókur	síkassi
last	síbrek,farmur,illsinnisgleps,lótir
lasta	sílossa,rúmaSamheiti:avdøma,átala,flyta,flytja,flytta,fordøma,forvíta,frýggja,fyridøma,illa,vanyrðaaltíð hava jarnið á e-m;dálka, spilla e-n (út);dríta í egið reiður (t.e.) lasta síni egnu, sítt egið;einki orð hava til e-n;fara illa við e-m (í orðum);finnast, hava at e-m;flyta fólk;forvíta, illa, vanyrða e-n;høgga, nykkja niður á e-n;leggja e-m til last;negla e-n við e-m;orðleiða e-n;ríva niður á fólk;seta at e-m;seta gekk, klikk, vomm á e-t;seta inn, niður á e-n;siga ljót, skitin orð upp á bakið á e-m;siga e-n illan, ringan;skemma, spilla út av húð og ham, út úr haminum;skendska e-n til, út;tosa ilt um;tveita við runubløkum;vera ringur, skjótur at døma (onnur);vera dømandi, harðdømdur, harður í dómi↔baktal,baktala,baktalari,bannseta,døma
lastaður	sílaðin
lastarlúka	sílok
lastik	sígummiband
lastikbind	síumvav
lastiskur	sífjaðrandi
lastverdur	sídygdarleysur
lata	sígeva,lorka burtur,loyva
lata enda	síenda
latalagnuna ráða	geva alt upp í Harrans hendur;geva seg í Guds hendur;lata eydnuna ráða;leggja alt í Guds hendur;(hann) biður nú Gud og Ólav kong ráða for ørvaroddum
lataliva	sínøra
lat fara	sísama ger
latína	síumseta
latínskúli	sískúli
latur	Samheiti:andleysur,beindovin,beinlinur,blóðdovin,blóðlatur,dardalatur,deydligur,deyðsaligur,deyðsamligur,deyðsamsligur,dossasligur,dovin,dovisligur,dósasligur,dósin,dósutur,døsin,døssasligur,eykdovin,gerðarlítil,jánkasligur,lallasligur,linligur,lítarleysur,ódrúgvur,sálleysur,skinndovin,slakur,songarkærurtungur á sær;tungur í døllunum;○sum bara gongur og trekkir løn;sum er góður við seingina;□hann er sum flekivøtturin;hann fer ikki longur enn hann er kastaður;hann ger ikki meira enn hann er kroystur at gera;hann tekur ikki hendurnar úr lummanum;hatta situr sum ein flagreyv, stendur sum eitt garðnytti(dovisliga)letisliga↔aftra seg,bíða,dygdarleysur,dølskur,eftirbátur,letast,leti,letingi,líkasæla,órøkjutur,seinpjakutur,vánamaðurAndheiti:raskur
lava	síførka,halla,hanga
lavaligur	síbusutur
lavhallur	síhallur
lavlamin	síbrekaður
lavlorkutur	síbusutur
lavrassi	sífuglur
lavrberjakransur	síheiðursløn
lavskeivur	síhallur
lavveikur	síkraftleysur
lá	sífuglur
láarbrot	sísjóvarilska
láarreiður	síreiður
láartrælur	sífuglur
láarungi	sífuglur
lág	sídalur
lágafylgi	síseyður
lágbeintur	síbeintur
lágborðaður	sílaðin
lágborin	Samheiti:trælborinav ringari ætt;av ringum fólki, slag(i);av trælaætt;av vánafólki, vánaslagi;brotin av illum líki;sprottin av illum runni;○sum hevur trælaanda, trælalyndi↔dygdarleysur,undirlutakensla,vánafólk,vánamaðurAndheiti:hábærsligur
lágbyrjaður	síbeintur
lágd	sídalur
lágfloygdur	sídølskur
lágfloyttur	sílaðin
lágføttur	síbeintur
lághagafylgi	síseyður
lághagi	síjarðarstykki
lághella	sígrót
lághválv	síhimmalhválv
lághyrntur	síhyrntur
lági	sídalur
láginntøka	sígjald
lágleiki	síeyðmýkt
láglendi	sídalur
láglendislamb	síseyður
láglendur	síflatur
lágliga	síljódliga,niðarlaga
lágligur	síflatur
lágløntur	síløntur
lágmark	símark
lágmarksprísur	síprísur
lágmælt	síljódliga
lágmæltur	símæltur
lágorka	símegi
lágprísur	síprísur
lágskýggjað	sítokutur
lágt	síniðarlaga
lágtóni	sítónalag
lágtrýst	sítrýst
lágur	síkvirrur,smáur,ættir
lágur eystan	síættir
lágurlandsynningur	síættir
lágur útsynningur	síættir
lágur vestan	síættir
lágvaksin	sísmáur
lágætt	sívindur
lágættardagur	sívindur
lágættarlot	sívindur
lágættarstormur	sívindur
lágættartømingur	sívindur
lágættarveður	sívindur
lágættarvindur	sívindur
lálla	sífiskur,fótur
láma	sírudda,vaska
lámast	síarbeiða óvandaliga
lámhentur	sívinstrhentur
lámsutur	síbusutur
lámur	sífótur,vinstrhentur
