Hjalgrímur	(Hjalgrím, Hjalgrími, Hjalgríms)
Hjalma	(Hjalmu, Hjalmu, Hjalmu)
Hjalmar	(Hjalmar, Hjalmari, Hjalmars)
Hjalti	(Hjalta, Hjalta, Hjalta)
Hjarnar	(Hjarnar, Hjarnari, Hjarnars)
Hjartvar	(Hjartvar, Hjartvari, Hjartvars)
Hjartvør	(Hjartvør, Hjartvør, Hjartvarar)
Hjálmar	(Hjálmar, Hjálmari, Hjálmars)
Hjørdis	(Hjørdis, Hjørdis, Hjørdisar)
Hjørgrímur	(Hjørgrím, Hjørgrími, Hjørgríms)
Hjørleivur	(Hjørleiv, Hjørleivi, Hjørleivs)
Hjørmundur	(Hjørmund, Hjørmundi, Hjørmundar/Hjørmunds)
Hjørtur	(Hjørt, Hjørti, Hjartar)
Holgar	(Holgar, Holgari, Holgars)
Hóraldur	(Hórald, Hóraldi, Hóralds)
Hórður	(Hórð, Hórði, Hórðar)
Hóri	(Hóra, Hóra, Hóra)
Hugi	(Huga, Huga, Huga)
Hugin	(Hugin, Hugini, Hugins)
Hulda	(Huldu, Huldu, Huldu)
Húnbogi	(Húnboga, Húnboga, Húnboga)
Húngerð	(Húngerð, Húngerð, Húngerðar)
Húngunn	(Húngunn, Húngunn, Húngunnar)
Húni	(Húna, Húna, Húna)
Høgnar	(Høgnar, Høgnari, Høgnars)
Høgni	(Høgna, Høgna, Høgna)
Hørður	(Hørð, Hørði, Harðar)
Høskuldur	(Høskuld, Høskuldi, Høskulds)
