X	rómv. taltekn fyri 10
x	1h(málfr.)hjáljóðsstavur (nevndur[ɛks])(vanl.ikki nýttur í føroyskum)2(støddfr.)1vanl. heiti á ókendari stødd(t.d. á fyrra ókenda í líkning)2tekin fyri virðið á fyrra liði(í krossskipan)
x-ás	(støddfr.)útás
