Z-ástøði	leiðsluástøði, ið nýtir tað besta úr Y-ástøðinum saman við nýtíðar japonskum leiðsluhættum; Z-ástøðið leggur størri dent á hugburð og ábyrgd hjá starvsfólkunum enn Xog Y-ástøðini, sum bæði síggja leiðslu og motivatión av starvsfólkum frá einum leiðslusjónarmiði
ZBB	zero-base budgetting; eftir hesi hugsan at gera fíggjarætlan verður ein útreiðsla ikki góðtikin bara tí, at hon var í fjør; kostnaðarætlanin byrjar frá null, og øll kostnaðarætlanin skal verða væl grundað, og kostnaðurin skal vera virðisskapandi
