ídnaðarmarknaður	marknaður, har virki keypa vørur at nýta í framleiðsluni; ídnaðarmarknaður er partur avvirkismarknaði
íkast	millumúrslit í rakstrarroknskapi, til dømisskiftisíkastograkstraríkast
íløga	nýtsla av pengum við tí í huga at fáa eitt avkast burturúr; í samfelagsbúskapi verðabruttoíløgurbýttar sundur ínettoíløgurogenduríløgur
íløguætlan	partur avfíggjarætlan, sum ávirkar bæðirakstrarætlan,pengastreymsætlanogfíggjarstøðuætlan
ímynd	tann hugmynd, ið brúkarar og aðriráhugabólkarhava av einari vøru, einumvørumerkiella einumvirki
íognarfelag	virkisformur við tveimum ella fleiri eigarum, har hvør einstakur heftir persónliga og solidariskt fyri skyldurnar hjá virkinum; sípersónlig ábyrgdogsolidarisk ábyrgd
íognarsáttmáli	sáttmáli millum eigarar ííognarfelagi um, hvussu avlop og hall skulu verða býtt millum eigararnar
